FID,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,SHAPE_AREA,SHAPE_LEN,POSITIVI,DECEDUTI,TOTALE,Shape__Area,Shape__Length
120,119,03016002,ADRARA SAN ROCCO,BERGAMO,BG,LOMBARDIA,9337403.0980046,16693.6192125493,1,0,1,19169829.058105,23926.875712
121,120,03014009,BORMIO,SONDRIO,SO,LOMBARDIA,41722887.8401973,43774.0901719418,16,5,21,88061562.907227,63590.520068
122,121,03097026,COSTA MASNAGA,LECCO,LC,LOMBARDIA,5520698.43729515,18704.124316367,20,3,23,11352174.270996,26818.496371
123,122,03016196,SEDRINA,BERGAMO,BG,LOMBARDIA,5930730.92934068,11572.1305939733,16,8,24,12198248.086426,16592.568341
124,123,03012090,LONATE POZZOLO,VARESE,VA,LOMBARDIA,28897927.6198232,29910.2459295449,11,0,11,59049730.777344,42754.036183
125,125,03017034,CALVISANO,BRESCIA,BS,LOMBARDIA,45037193.1208742,35825.909570644,31,13,44,91238124.878418,50998.447124
126,127,03020070,VOLTA MANTOVANA,MANTOVA,MN,LOMBARDIA,50212622.6807036,36161.9442144975,51,1,52,101570869.613281,51428.739324
127,128,03016113,GHISALBA,BERGAMO,BG,LOMBARDIA,10578863.049345,15700.8540215755,16,7,23,21618469.168945,22444.724806
128,129,03016237,VIGOLO,BERGAMO,BG,LOMBARDIA,12278219.3119831,17022.9707086419,8,2,10,25202538.901367,24391.20279
129,130,03108010,BOVISIO MASCIAGO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,5002715.61504366,19510.5242002166,23,2,25,10230727.100586,27893.133997
130,131,03018034,CASORATE PRIMO,PAVIA,PV,LOMBARDIA,9525712.5010865,22620.9111337063,8,0,8,19271730.079102,32181.548881
131,134,03020044,PONTI SUL MINCIO,MANTOVA,MN,LOMBARDIA,11850097.595574,17033.7048400658,3,0,3,24052072.437012,24266.880782
132,135,03097052,MONTE MARENZO,LECCO,LC,LOMBARDIA,3059316.88696303,9127.46232972017,3,1,4,6291341.917969,13092.035389
133,136,03097061,OSNAGO,LECCO,LC,LOMBARDIA,4426427.69691807,17762.3843925759,17,1,18,9072916.32959,25435.274574
134,137,03016219,TREVIGLIO,BERGAMO,BG,LOMBARDIA,32234030.5498155,33602.8843879789,142,30,172,65725866.929199,47980.688768
135,138,03013022,BEREGAZZO CON FIGLIARO,COMO,CO,LOMBARDIA,3799166.72250182,13396.4773833847,3,0,3,7813783.572266,19212.86754
136,139,03013110,GRANDATE,COMO,CO,LOMBARDIA,2781759.05064404,8827.08098534154,7,4,11,5721266.379883,12660.075743
137,140,03016049,CANONICA D`ADDA,BERGAMO,BG,LOMBARDIA,3115619.1718025,12154.8117856754,19,1,20,6363135.103516,17379.504139
138,141,03017015,BERLINGO,BRESCIA,BS,LOMBARDIA,4598019.846822,12137.6216067637,12,4,16,9366388.737793,17329.152071
139,142,03015140,MELEGNANO,MILANO,MI,LOMBARDIA,4953564.0959885,14673.9765611456,41,13,54,10038702.270508,20889.113582
140,143,03019040,DEROVERE,CREMONA,CR,LOMBARDIA,9917950.29841716,18116.7567539083,1,0,1,19924437.072266,25677.005329
141,144,03017178,SERLE,BRESCIA,BS,LOMBARDIA,18564293.6841372,21161.4148762728,24,0,24,37909073.965332,30239.751388
142,145,03098045,PIEVE FISSIRAGA,LODI,LO,LOMBARDIA,12085928.1221315,24205.0937006698,6,3,9,24416039.177734,34411.868106
143,146,03015201,SAN VITTORE OLONA,MILANO,MI,LOMBARDIA,3170977.6324715,10320.8443900124,30,0,30,6477922.96875,14750.354304
144,147,03013128,LIMIDO COMASCO,COMO,CO,LOMBARDIA,4469266.15474133,15437.0322468832,2,0,2,9164098.846191,22109.975474
145,148,03013065,CERNOBBIO,COMO,CO,LOMBARDIA,11773420.577489,18231.1321177513,7,2,9,24286533.900879,26189.194415
146,149,03020073,BORGOCARBONARA,MANTOVA,MN,LOMBARDIA,30599374.4679639,30941.7763569058,5,0,5,61271906.312988,43770.429833
147,152,03013143,MARIANO COMENSE,COMO,CO,LOMBARDIA,13795696.9991607,26489.2876882423,41,4,45,28298364.029297,37949.103073
148,153,03018077,INVERNO E MONTELEONE,PAVIA,PV,LOMBARDIA,9843758.764742,22777.4452577633,6,0,6,19836203.952637,32334.099286
149,154,03013253,ALTA VALLE INTELVI,COMO,CO,LOMBARDIA,25251219.6422142,26070.1407551554,2,0,2,52313074.913086,37524.904747
150,159,03019093,SCANDOLARA RIPA D`OGLIO,CREMONA,CR,LOMBARDIA,5690410.44451151,12204.2055887584,8,1,9,11477839.96582,17336.428271
151,161,03015082,COLTURANO,MILANO,MI,LOMBARDIA,4213980.3747015,12086.9854851079,3,1,4,8547328.607422,17212.921201
152,162,03017007,ARTOGNE,BRESCIA,BS,LOMBARDIA,20925489.4629319,23953.2408553647,27,2,29,43130391.771484,34378.3933
153,163,03016179,RANZANICO,BERGAMO,BG,LOMBARDIA,7256826.22213701,12818.8130646158,13,1,14,14933047.070313,18391.50219
154,156,03013043,CAPIAGO INTIMIANO,COMO,CO,LOMBARDIA,5764649.20359579,15343.3917446844,6,0,6,11855265.429199,21997.984714
155,157,03019089,SAN DANIELE PO,CREMONA,CR,LOMBARDIA,22682045.3834573,22273.0839739544,13,1,14,45477867.946777,31537.153586
156,180,03016239,VILLA D`ALME`,BERGAMO,BG,LOMBARDIA,6342259.6523512,12515.3761915083,51,14,65,13034501.819824,17941.83932
157,181,03017176,SELLERO,BRESCIA,BS,LOMBARDIA,13989085.0689654,16329.4441797017,7,1,8,29067725.458984,23540.864315
158,182,03013203,SALA COMACINA,COMO,CO,LOMBARDIA,4974457.4175468,12321.0652393822,10,4,14,10303307.469238,17738.00297
159,183,03016201,SONGAVAZZO,BERGAMO,BG,LOMBARDIA,13109345.4473866,26678.1190810691,12,2,14,27054134.415039,38320.356643
160,184,03018189,ZERBOLO`,PAVIA,PV,LOMBARDIA,37466871.7941005,40421.1078386215,1,0,1,75555150.276855,57401.50344
161,185,03097033,ELLO,LECCO,LC,LOMBARDIA,2384893.99237516,8898.89676119035,4,1,5,4906744.77002,12766.199522
162,186,03016034,BOTTANUCO,BERGAMO,BG,LOMBARDIA,5859795.56897843,11984.3026416505,17,5,22,11994477.364258,17142.812703
163,187,03018087,MARZANO,PAVIA,PV,LOMBARDIA,9298854.28455401,20748.604343971,6,0,6,18774173.293457,29485.372572
164,188,03018040,CASTELNOVETTO,PAVIA,PV,LOMBARDIA,18534765.7487465,31636.0724901401,1,0,1,37433972.171875,44963.954126
165,189,03015169,PAULLO,MILANO,MI,LOMBARDIA,8973657.038684,22365.9819712659,37,8,45,18224753.96875,31880.247584
166,190,03013234,VALSOLDA,COMO,CO,LOMBARDIA,31340997.4589895,27477.5434662489,3,0,3,65068748.086914,39592.980824
167,191,03016174,PREDORE,BERGAMO,BG,LOMBARDIA,12077903.4844565,15204.4456265735,14,6,20,24759011.741211,21761.333644
168,192,03017179,SIRMIONE,BRESCIA,BS,LOMBARDIA,29393762.9535309,24468.5957469288,32,2,34,59808871.522949,34914.317294
169,193,03019094,SERGNANO,CREMONA,CR,LOMBARDIA,12481549.6576462,23469.7667379356,46,5,51,25361130.768066,33456.731217
170,194,03018107,PALESTRO,PAVIA,PV,LOMBARDIA,18711101.533571,24261.184187843,1,0,1,37836872.681152,34501.688889
171,196,03016119,GRONE,BERGAMO,BG,LOMBARDIA,7792278.96098489,12748.3912097662,6,2,8,16000721.125,18265.58784
172,197,03019027,CASTELVISCONTI,CREMONA,CR,LOMBARDIA,9889678.29144449,15137.7152593052,1,0,1,20001872.338379,21531.102617
173,198,03018155,TORRAZZA COSTE,PAVIA,PV,LOMBARDIA,16244618.5674355,23435.6328462516,5,4,9,32471312.015137,33143.813151
174,199,03098039,MERLINO,LODI,LO,LOMBARDIA,10898554.365792,23931.7531668788,2,0,2,22144650.203613,34116.749237
175,200,03019053,ISOLA DOVARESE,CREMONA,CR,LOMBARDIA,9471727.88889698,17084.1300563066,7,1,8,19066214.168457,24238.56812
176,201,03019009,CALVATONE,CREMONA,CR,LOMBARDIA,13542773.219849,21484.0785196617,10,1,11,27222069.0625,30456.039564
177,202,03018009,BASCAPE`,PAVIA,PV,LOMBARDIA,13200445.303617,33354.6010823109,5,0,5,26702601.047363,47440.315629
178,203,03018150,SIZIANO,PAVIA,PV,LOMBARDIA,11995773.6560595,26637.86461408,13,5,18,24273413.70752,37895.190477
179,204,03017162,ROCCAFRANCA,BRESCIA,BS,LOMBARDIA,19543271.1254491,30433.9317092154,24,8,32,39739481.935547,43403.419074
180,205,03016074,CISANO BERGAMASCO,BERGAMO,BG,LOMBARDIA,7680085.67741829,16110.9564594786,24,11,35,15781742.120117,23096.547459
181,206,03018060,CURA CARPIGNANO,PAVIA,PV,LOMBARDIA,10855898.830046,30008.7872447271,13,4,17,21885714.981445,42609.64341
182,207,03098025,CRESPIATICA,LODI,LO,LOMBARDIA,7051393.919284,14449.895955066,4,4,8,14285538.541992,20570.515311
183,208,03020032,MARIANA MANTOVANA,MANTOVA,MN,LOMBARDIA,8821115.26543854,20564.936447601,3,1,4,17765158.615723,29186.227408
184,209,03016191,SANTA BRIGIDA,BERGAMO,BG,LOMBARDIA,14369018.1281178,31247.6890025725,5,2,7,29793297.595215,45006.208468
185,210,03013163,NOVEDRATE,COMO,CO,LOMBARDIA,2817140.72766905,10554.8146476864,2,0,2,5778750.320313,15119.458202
186,211,03017092,LONATO DEL GARDA,BRESCIA,BS,LOMBARDIA,68178722.1441227,52496.3367725845,66,14,80,138548781.76709,74832.926985
187,212,03020002,ASOLA,MANTOVA,MN,LOMBARDIA,73561332.1799064,58957.521119796,73,1,74,148325025.783203,83721.63758
188,214,03018086,MARCIGNAGO,PAVIA,PV,LOMBARDIA,10193385.278842,23080.8158436163,2,0,2,20579872.951172,32788.235431
189,215,03017042,CASTEL MELLA,BRESCIA,BS,LOMBARDIA,7512081.95444901,14889.7634282662,62,7,69,15298654.555176,21253.80539
190,213,03012057,CROSIO DELLA VALLE,VARESE,VA,LOMBARDIA,1472931.25401742,6294.04039250164,1,0,1,3028066.987793,9023.307173
191,216,03015051,CARUGATE,MILANO,MI,LOMBARDIA,5364937.6253625,13254.0519328704,42,7,49,10947684.734375,18926.984399
192,217,03019002,AGNADELLO,CREMONA,CR,LOMBARDIA,12172254.242718,18791.1004807875,26,6,32,24743028.271973,26791.744315
193,218,03016165,PIAZZATORRE,BERGAMO,BG,LOMBARDIA,24120927.1043096,22151.4472305014,2,1,3,50022886.788086,31902.150324
194,219,03017077,GAVARDO,BRESCIA,BS,LOMBARDIA,29812833.3695272,36271.9894419038,82,4,86,60901611.680176,51849.535201
195,221,03019038,CROTTA D`ADDA,CREMONA,CR,LOMBARDIA,12862141.261324,23519.6809864797,9,2,11,25881550.440918,33366.002173
