"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Napo","EC-N","2020-04-01","2020-04-30",2020,4,131000,31,0,32,-1,31,0,-0.763358778625954,-0.03125
"Ecuador","Napo","EC-N","2020-05-01","2020-05-31",2020,5,131000,44,0,31,13,44,0,9.9236641221374,0.419354838709677
"Ecuador","El Oro","EC-O","2020-01-01","2020-01-31",2020,1,707200,298,0,270.5,27.5,298,0,3.88857466063348,0.101663585951941
"Ecuador","El Oro","EC-O","2020-02-01","2020-02-29",2020,2,707200,224,0,244.5,-20.5,224,0,-2.8987556561086,-0.0838445807770961
"Ecuador","El Oro","EC-O","2020-03-01","2020-03-31",2020,3,707200,251,0,268,-17,251,0,-2.40384615384615,-0.0634328358208955
"Ecuador","El Oro","EC-O","2020-04-01","2020-04-30",2020,4,707200,564,0,227.5,336.5,564,0,47.5820135746606,1.47912087912088
"Ecuador","El Oro","EC-O","2020-05-01","2020-05-31",2020,5,707200,546,0,250.5,295.5,546,0,41.7845022624434,1.17964071856287
"Ecuador","Pichincha","EC-P","2020-01-01","2020-01-31",2020,1,3172200,1204,0,1268.5,-64.5,1204,0,-2.03328919992434,-0.0508474576271186
"Ecuador","Pichincha","EC-P","2020-02-01","2020-02-29",2020,2,3172200,1143,0,998,145,1143,0,4.57096021688418,0.145290581162325
"Ecuador","Pichincha","EC-P","2020-03-01","2020-03-31",2020,3,3172200,1086,0,1047.5,38.5,1086,0,1.21366874724166,0.0367541766109785
"Ecuador","Pichincha","EC-P","2020-04-01","2020-04-30",2020,4,3172200,1255,0,1001.5,253.5,1255,0,7.99129941365614,0.253120319520719
"Ecuador","Pichincha","EC-P","2020-05-01","2020-05-31",2020,5,3172200,1507,0,1096,411,1507,0,12.9563079250993,0.375
"Ecuador","Los Ríos","EC-R","2020-01-01","2020-01-31",2020,1,910800,296,0,308,-12,296,0,-1.31752305665349,-0.038961038961039
"Ecuador","Los Ríos","EC-R","2020-02-01","2020-02-29",2020,2,910800,286,0,302.5,-16.5,286,0,-1.81159420289855,-0.0545454545454546
"Ecuador","Los Ríos","EC-R","2020-03-01","2020-03-31",2020,3,910800,267,0,333.5,-66.5,267,0,-7.30127360562143,-0.199400299850075
"Ecuador","Los Ríos","EC-R","2020-04-01","2020-04-30",2020,4,910800,677,0,309,368,677,0,40.4040404040404,1.19093851132686
"Ecuador","Los Ríos","EC-R","2020-05-01","2020-05-31",2020,5,910800,426,0,294,132,426,0,14.4927536231884,0.448979591836735
"Ecuador","Morona Santiago","EC-S","2020-01-01","2020-01-31",2020,1,192300,49,0,46.5,2.5,49,0,1.30005200208008,0.053763440860215
"Ecuador","Morona Santiago","EC-S","2020-02-01","2020-02-29",2020,2,192300,48,0,40.5,7.5,48,0,3.90015600624025,0.185185185185185
"Ecuador","Morona Santiago","EC-S","2020-03-01","2020-03-31",2020,3,192300,33,0,45.5,-12.5,33,0,-6.50026001040042,-0.274725274725275
"Ecuador","Morona Santiago","EC-S","2020-04-01","2020-04-30",2020,4,192300,23,0,45,-22,23,0,-11.4404576183047,-0.488888888888889
"Ecuador","Morona Santiago","EC-S","2020-05-01","2020-05-31",2020,5,192300,24,0,39,-15,24,0,-7.8003120124805,-0.384615384615385
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-01-01","2020-01-31",2020,1,450700,204,0,207.5,-3.5,204,0,-0.776569780341691,-0.016867469879518
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-02-01","2020-02-29",2020,2,450700,202,0,166,36,202,0,7.98757488351453,0.216867469879518
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-03-01","2020-03-31",2020,3,450700,162,0,204,-42,162,0,-9.31883736410029,-0.205882352941177
