"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Italy","Lombardy","3","2020-08-12","2020-08-18",2020,"33",10051747,1800,7,1718.18999999975,81.8100000002541,1793,0.0696396357767461,0.813888371844756,0.0476140589808265
"Italy","Lombardy","3","2020-08-19","2020-08-25",2020,"34",10051747,1696,17,1684.78999999976,11.2100000002383,1679,0.169124829743526,0.111522902439131,0.00665364822929848
"Italy","Veneto","5","2020-01-01","2020-01-07",2020,"1",4869591,1053,0,1105.81562499992,-52.8156249999156,1053,0,-1.08460084224559,-0.0477616917376436
"Italy","Veneto","5","2020-01-08","2020-01-14",2020,"2",4869591,1069,0,1146.31562499974,-77.3156249997442,1069,0,-1.58772317838899,-0.0674470654622381
"Italy","Veneto","5","2020-01-15","2020-01-21",2020,"3",4869591,1102,0,1141.31562500004,-39.315625000037,1102,0,-0.807370167228357,-0.0344476358150584
"Italy","Veneto","5","2020-01-22","2020-01-28",2020,"4",4869591,1101,0,1124.14895833318,-23.1489583331841,1101,0,-0.47537787738609,-0.0205924296434058
"Italy","Veneto","5","2020-01-29","2020-02-04",2020,"5",4869591,1054,0,1128.98229166659,-74.982291666588,1054,0,-1.53980676542626,-0.0664158262003386
"Italy","Veneto","5","2020-02-05","2020-02-11",2020,"6",4869591,1051,0,1085.81562499984,-34.8156249998351,1051,0,-0.714959942217634,-0.0320640302075598
"Italy","Veneto","5","2020-02-12","2020-02-18",2020,"7",4869591,1067,0,1101.98229166662,-34.9822916666192,1067,0,-0.718382543146215,-0.0317448764205753
"Italy","Veneto","5","2020-02-19","2020-02-25",2020,"8",4869591,1041,1,1046.31562500003,-5.3156250000261,1040,0.020535605557017,-0.109159578289555,-0.00508032650284274
"Italy","Veneto","5","2020-02-26","2020-03-03",2020,"9",4869591,1045,2,1061.5787499999,-16.578749999898,1043,0.041071211114034,-0.340454670626302,-0.0156170703302978
"Italy","Veneto","5","2020-03-04","2020-03-10",2020,"10",4869591,1087,23,1015.17875000005,71.8212499999501,1064,0.472318927811391,1.47489286061088,0.0707473930083216
"Italy","Veneto","5","2020-03-11","2020-03-17",2020,"11",4869591,1143,54,990.978749999983,152.021250000017,1089,1.10892270007892,3.12184842628503,0.153405156265984
"Italy","Veneto","5","2020-03-18","2020-03-24",2020,"12",4869591,1281,136,963.178749999987,317.821250000013,1145,2.79284235575431,6.52665182763835,0.32997120212631
"Italy","Veneto","5","2020-03-25","2020-03-31",2020,"13",4869591,1435,261,943.378749999981,491.621250000019,1174,5.35979305038144,10.095740073448,0.521128178899545
"Italy","Veneto","5","2020-04-01","2020-04-07",2020,"14",4869591,1320,218,914.978749999976,405.021250000024,1102,4.47676201142971,8.31735663221047,0.442656455136291
"Italy","Veneto","5","2020-04-08","2020-04-14",2020,"15",4869591,1290,211,943.97875,346.02125,1079,4.33301277253059,7.10575590434596,0.366556185719222
"Italy","Veneto","5","2020-04-15","2020-04-21",2020,"16",4869591,1142,248,893.978749999953,248.021250000047,894,5.09283017814022,5.09326655975927,0.277435285794053
"Italy","Veneto","5","2020-04-22","2020-04-28",2020,"17",4869591,1140,254,886.978749999937,253.021250000063,886,5.21604381148232,5.19594458754468,0.285261907345673
"Italy","Veneto","5","2020-04-29","2020-05-05",2020,"18",4869591,963,137,887.9787499999,75.0212500000997,826,2.81337796131133,1.54060679839641,0.0844854113908786
"Italy","Veneto","5","2020-05-06","2020-05-12",2020,"19",4869591,989,141,894.578749999939,94.4212500000606,848,2.8955203835394,1.93899754620174,0.105548281803102
"Italy","Veneto","5","2020-05-13","2020-05-19",2020,"20",4869591,872,134,857.778749999924,14.221250000076,738,2.75177114464028,0.292041980529289,0.0165791586700852
