"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Germany","Germany","0","2020-07-08","2020-07-14",2020,"28",83149300,16080,35,16546.2416666663,-466.241666666276,16045,0.042092958088643,-0.560728312404645,-0.0281781008677975
"Germany","Germany","0","2020-07-15","2020-07-21",2020,"29",83149300,16520,24,16925.2416666663,-405.241666666258,16496,0.0288637426893552,-0.487366299735846,-0.0239430357714991
"Germany","Germany","0","2020-07-22","2020-07-28",2020,"30",83149300,17057,33,18040.2416666663,-983.241666666265,17024,0.0396876461978634,-1.18250143617116,-0.0545026882030657
"Germany","Germany","0","2020-07-29","2020-08-04",2020,"31",83149300,17003,40,17739.7416666663,-736.741666666268,16963,0.048106237815592,-0.886046745632577,-0.0415305747124062
"Germany","Germany","0","2020-08-05","2020-08-11",2020,"32",83149300,18473,39,16807.9916666663,1665.00833333373,18434,0.0469035818702022,2.00243217120737,0.0990605163516225
"Germany","Germany","0","2020-08-12","2020-08-18",2020,"33",83149300,18761,36,16636.2416666663,2124.75833333373,18725,0.0432956140340328,2.55535324210033,0.127718650396325
"Germany","Germany","0","2020-08-19","2020-08-25",2020,"34",83149300,17116,37,16681.2416666663,434.758333333735,17079,0.0444982699794226,0.522864694391577,0.0260627081617373
"Germany","Germany","0","2020-08-26","2020-09-01",2020,"35",83149300,16406,33,16934.9916666663,-528.991666666261,16373,0.0396876461978634,-0.636194972977838,-0.0312366062575332
"Germany","Germany","0","2020-09-02","2020-09-08",2020,"36",83149300,16631,25,16343.2416666663,287.758333333732,16606,0.030066398634745,0.346074270419272,0.0176071760549588
"Germany","Germany","0","2020-09-09","2020-09-15",2020,"37",83149300,17078,30,16630.7416666663,447.258333333728,17048,0.036079678361694,0.53789789370894,0.0268934688721782
