"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths"
"Ecuador","Los Ríos","EC-R","2020-01-01","2020-01-31",2020,1,910800,296,0,308,-12,296
"Ecuador","Los Ríos","EC-R","2020-02-01","2020-02-29",2020,2,910800,286,0,302.5,-16.5,286
"Ecuador","Los Ríos","EC-R","2020-03-01","2020-03-31",2020,3,910800,267,0,333.5,-66.5,267
"Ecuador","Los Ríos","EC-R","2020-04-01","2020-04-30",2020,4,910800,677,0,309,368,677
"Ecuador","Los Ríos","EC-R","2020-05-01","2020-05-31",2020,5,910800,426,0,294,132,426
"Ecuador","Morona Santiago","EC-S","2020-01-01","2020-01-31",2020,1,192300,49,0,46.5,2.5,49
"Ecuador","Morona Santiago","EC-S","2020-02-01","2020-02-29",2020,2,192300,48,0,40.5,7.5,48
"Ecuador","Morona Santiago","EC-S","2020-03-01","2020-03-31",2020,3,192300,33,0,45.5,-12.5,33
"Ecuador","Morona Santiago","EC-S","2020-04-01","2020-04-30",2020,4,192300,23,0,45,-22,23
"Ecuador","Morona Santiago","EC-S","2020-05-01","2020-05-31",2020,5,192300,24,0,39,-15,24
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-01-01","2020-01-31",2020,1,450700,204,0,207.5,-3.5,204
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-02-01","2020-02-29",2020,2,450700,202,0,166,36,202
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-03-01","2020-03-31",2020,3,450700,162,0,204,-42,162
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-04-01","2020-04-30",2020,4,450700,239,0,184.5,54.5,239
"Ecuador","Santo Domingo de los Tsáchilas","EC-SD","2020-05-01","2020-05-31",2020,5,450700,256,0,186,70,256
"Ecuador","Santa Elena","EC-SE","2020-01-01","2020-01-31",2020,1,392600,116,0,111,5,116
"Ecuador","Santa Elena","EC-SE","2020-02-01","2020-02-29",2020,2,392600,113,0,107,6,113
"Ecuador","Santa Elena","EC-SE","2020-03-01","2020-03-31",2020,3,392600,156,0,115.5,40.5,156
"Ecuador","Santa Elena","EC-SE","2020-04-01","2020-04-30",2020,4,392600,982,0,102,880,982
"Ecuador","Santa Elena","EC-SE","2020-05-01","2020-05-31",2020,5,392600,310,0,100,210,310
"Ecuador","Tungurahua","EC-T","2020-01-01","2020-01-31",2020,1,584100,250,0,260,-10,250
"Ecuador","Tungurahua","EC-T","2020-02-01","2020-02-29",2020,2,584100,235,0,219,16,235
"Ecuador","Tungurahua","EC-T","2020-03-01","2020-03-31",2020,3,584100,215,0,241.5,-26.5,215
"Ecuador","Tungurahua","EC-T","2020-04-01","2020-04-30",2020,4,584100,260,0,208.5,51.5,260
"Ecuador","Tungurahua","EC-T","2020-05-01","2020-05-31",2020,5,584100,323,0,225.5,97.5,323
"Ecuador","Sucumbíos","EC-U","2020-01-01","2020-01-31",2020,1,225500,59,0,51.5,7.5,59
"Ecuador","Sucumbíos","EC-U","2020-02-01","2020-02-29",2020,2,225500,51,0,52.5,-1.5,51
"Ecuador","Sucumbíos","EC-U","2020-03-01","2020-03-31",2020,3,225500,45,0,42.5,2.5,45
"Ecuador","Sucumbíos","EC-U","2020-04-01","2020-04-30",2020,4,225500,50,0,56,-6,50
"Ecuador","Sucumbíos","EC-U","2020-05-01","2020-05-31",2020,5,225500,55,0,43.5,11.5,55
"Ecuador","Galápagos","EC-W","2020-01-01","2020-01-31",2020,1,32300,5,0,4,1,5
"Ecuador","Galápagos","EC-W","2020-02-01","2020-02-29",2020,2,32300,4,0,3.5,0.5,4
"Ecuador","Galápagos","EC-W","2020-03-01","2020-03-31",2020,3,32300,3,0,1,2,3
"Ecuador","Galápagos","EC-W","2020-04-01","2020-04-30",2020,4,32300,3,0,3.5,-0.5,3
"Ecuador","Galápagos","EC-W","2020-05-01","2020-05-31",2020,5,32300,1,0,4,-3,1
"Ecuador","Cotopaxi","EC-X","2020-01-01","2020-01-31",2020,1,482600,138,0,175.5,-37.5,138
"Ecuador","Cotopaxi","EC-X","2020-02-01","2020-02-29",2020,2,482600,156,0,137,19,156
"Ecuador","Cotopaxi","EC-X","2020-03-01","2020-03-31",2020,3,482600,146,0,152.5,-6.5,146
"Ecuador","Cotopaxi","EC-X","2020-04-01","2020-04-30",2020,4,482600,151,0,146,5,151
"Ecuador","Cotopaxi","EC-X","2020-05-01","2020-05-31",2020,5,482600,149,0,150,-1,149
"Ecuador","Pastaza","EC-Y","2020-01-01","2020-01-31",2020,1,111300,34,0,23.5,10.5,34
"Ecuador","Pastaza","EC-Y","2020-02-01","2020-02-29",2020,2,111300,33,0,24.5,8.5,33
"Ecuador","Pastaza","EC-Y","2020-03-01","2020-03-31",2020,3,111300,22,0,26.5,-4.5,22
"Ecuador","Pastaza","EC-Y","2020-04-01","2020-04-30",2020,4,111300,22,0,25.5,-3.5,22
"Ecuador","Pastaza","EC-Y","2020-05-01","2020-05-31",2020,5,111300,16,0,19.5,-3.5,16
"Ecuador","Zamora Chinchipe","EC-Z","2020-01-01","2020-01-31",2020,1,117900,26,0,23,3,26
"Ecuador","Zamora Chinchipe","EC-Z","2020-02-01","2020-02-29",2020,2,117900,24,0,19,5,24
"Ecuador","Zamora Chinchipe","EC-Z","2020-03-01","2020-03-31",2020,3,117900,12,0,19.5,-7.5,12
"Ecuador","Zamora Chinchipe","EC-Z","2020-04-01","2020-04-30",2020,4,117900,19,0,22.5,-3.5,19
"Ecuador","Zamora Chinchipe","EC-Z","2020-05-01","2020-05-31",2020,5,117900,15,0,20,-5,15
