"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Azuay","EC-A","2020-04-01","2020-04-30",2020,4,867200,80.5,0,75.95,4.55,80.5,0,0.524677121771218,0.0599078341013826
"Ecuador","Azuay","EC-A","2020-05-01","2020-05-31",2020,5,867200,79.9354838709677,0,75.8709677419355,4.06451612903226,79.9354838709677,0,0.468694203071063,0.0535714285714286
"Ecuador","Azuay","EC-A","2020-06-01","2020-06-30",2020,6,867200,78.8666666666667,0,76.1833333333333,2.68333333333333,78.8666666666667,0,0.309424969249692,0.0352220520673814
"Ecuador","Bolívar","EC-B","2020-01-01","2020-01-31",2020,1,208400,14.2258064516129,0,18.5161290322581,-4.29032258064516,14.2258064516129,0,-2.05869605597177,-0.231707317073171
"Ecuador","Bolívar","EC-B","2020-02-01","2020-02-29",2020,2,208400,20.2758620689655,0,17.9827586206897,2.29310344827586,20.2758620689655,0,1.10033754715732,0.12751677852349
"Ecuador","Bolívar","EC-B","2020-03-01","2020-03-31",2020,3,208400,13.114401076716,0,17.5235531628533,-4.40915208613728,13.114401076716,0,-2.11571597223478,-0.251612903225806
"Ecuador","Bolívar","EC-B","2020-04-01","2020-04-30",2020,4,208400,25.6666666666667,0,15.05,10.6166666666667,25.6666666666667,0,5.09436980166347,0.705426356589147
"Ecuador","Bolívar","EC-B","2020-05-01","2020-05-31",2020,5,208400,20.5483870967742,0,15.0161290322581,5.53225806451613,20.5483870967742,0,2.65463438796359,0.368421052631579
"Ecuador","Bolívar","EC-B","2020-06-01","2020-06-30",2020,6,208400,20.7666666666667,0,18.2,2.56666666666667,20.7666666666667,0,1.23160588611644,0.141025641025641
"Ecuador","Carchi","EC-C","2020-01-01","2020-01-31",2020,1,185500,12.8709677419355,0,13.0967741935484,-0.225806451612903,12.8709677419355,0,-0.121728545343883,-0.0172413793103449
"Ecuador","Carchi","EC-C","2020-02-01","2020-02-29",2020,2,185500,13.7586206896552,0,14.6034482758621,-0.844827586206897,13.7586206896552,0,-0.455432661027977,-0.0578512396694215
"Ecuador","Carchi","EC-C","2020-03-01","2020-03-31",2020,3,185500,12.6621803499327,0,12.8882907133244,-0.226110363391655,12.6621803499327,0,-0.121892379186876,-0.0175438596491229
"Ecuador","Carchi","EC-C","2020-04-01","2020-04-30",2020,4,185500,11.9,0,12.25,-0.35,11.9,0,-0.188679245283019,-0.0285714285714286
