Date_evenement,Zone,Remontee_dematerialisee_2020,Total_deces_2020,Taux_dematerialisation_2020,Remontee_dematerialisee_2019,Total_deces_2019,Remontee_dematerialisee_2018,Total_deces_2018
31/03/2020,Dept_09,NA,NA,,121,153,115,164
01/03/2020,Dept_10,8,10,0.8,8,8,11,11
02/03/2020,Dept_10,15,17,0.88,17,18,21,23
03/03/2020,Dept_10,19,21,0.9,23,25,30,34
04/03/2020,Dept_10,25,27,0.93,33,35,33,38
05/03/2020,Dept_10,36,39,0.92,41,43,47,55
06/03/2020,Dept_10,44,49,0.9,52,55,56,65
07/03/2020,Dept_10,56,64,0.88,62,66,63,73
08/03/2020,Dept_10,62,70,0.89,72,78,79,89
09/03/2020,Dept_10,68,76,0.89,76,84,90,102
10/03/2020,Dept_10,80,91,0.88,84,92,98,112
11/03/2020,Dept_10,85,97,0.88,91,100,104,119
12/03/2020,Dept_10,90,102,0.88,101,111,110,127
13/03/2020,Dept_10,93,105,0.89,105,115,120,139
14/03/2020,Dept_10,100,113,0.88,113,125,130,150
15/03/2020,Dept_10,108,122,0.89,122,135,139,159
16/03/2020,Dept_10,120,135,0.89,131,146,147,168
17/03/2020,Dept_10,126,NA,,143,161,156,179
18/03/2020,Dept_10,131,NA,,148,168,165,191
19/03/2020,Dept_10,144,NA,,153,176,171,198
20/03/2020,Dept_10,148,NA,,162,186,177,206
21/03/2020,Dept_10,NA,NA,,171,198,185,214
22/03/2020,Dept_10,NA,NA,,181,209,193,223
23/03/2020,Dept_10,NA,NA,,192,221,205,235
24/03/2020,Dept_10,NA,NA,,198,228,211,242
25/03/2020,Dept_10,NA,NA,,204,236,220,252
26/03/2020,Dept_10,NA,NA,,216,251,229,262
27/03/2020,Dept_10,NA,NA,,220,256,237,274
28/03/2020,Dept_10,NA,NA,,225,261,241,279
29/03/2020,Dept_10,NA,NA,,234,271,254,293
30/03/2020,Dept_10,NA,NA,,236,277,267,307
31/03/2020,Dept_10,NA,NA,,244,286,276,317
01/03/2020,Dept_11,5,7,0.71,14,16,17,19
02/03/2020,Dept_11,14,19,0.74,22,28,33,39
03/03/2020,Dept_11,28,37,0.76,35,43,49,58
04/03/2020,Dept_11,37,47,0.79,49,59,64,76
05/03/2020,Dept_11,45,55,0.82,54,66,82,98
06/03/2020,Dept_11,58,71,0.82,67,81,94,114
07/03/2020,Dept_11,63,76,0.83,78,94,106,130
08/03/2020,Dept_11,76,90,0.84,90,106,116,146
09/03/2020,Dept_11,86,104,0.83,103,121,131,165
10/03/2020,Dept_11,98,117,0.84,109,130,141,179
11/03/2020,Dept_11,108,128,0.84,116,138,152,193
12/03/2020,Dept_11,116,139,0.83,127,150,162,207
13/03/2020,Dept_11,125,148,0.84,134,158,174,222
14/03/2020,Dept_11,137,161,0.85,145,171,184,234
15/03/2020,Dept_11,153,179,0.85,154,183,196,250
16/03/2020,Dept_11,165,194,0.85,159,192,205,262
17/03/2020,Dept_11,174,NA,,167,201,216,275
18/03/2020,Dept_11,182,NA,,175,212,231,292
19/03/2020,Dept_11,196,NA,,182,222,238,301
20/03/2020,Dept_11,206,NA,,183,225,247,314
21/03/2020,Dept_11,NA,NA,,189,233,254,324
22/03/2020,Dept_11,NA,NA,,202,251,262,334
23/03/2020,Dept_11,NA,NA,,210,260,278,352
24/03/2020,Dept_11,NA,NA,,220,270,288,364
25/03/2020,Dept_11,NA,NA,,225,277,295,376
26/03/2020,Dept_11,NA,NA,,232,287,307,390
27/03/2020,Dept_11,NA,NA,,240,298,315,400
28/03/2020,Dept_11,NA,NA,,251,312,330,417
29/03/2020,Dept_11,NA,NA,,260,323,340,429
30/03/2020,Dept_11,NA,NA,,267,332,350,441
31/03/2020,Dept_11,NA,NA,,273,339,360,452
01/03/2020,Dept_12,7,9,0.78,4,6,8,11
02/03/2020,Dept_12,16,18,0.89,11,14,19,23
03/03/2020,Dept_12,25,28,0.89,19,27,27,33
04/03/2020,Dept_12,37,40,0.93,29,40,31,38
05/03/2020,Dept_12,44,49,0.9,31,43,42,51
06/03/2020,Dept_12,52,58,0.9,40,53,52,64
07/03/2020,Dept_12,62,68,0.91,49,66,63,79
08/03/2020,Dept_12,73,81,0.9,59,78,69,86
09/03/2020,Dept_12,82,90,0.91,63,82,75,92
10/03/2020,Dept_12,91,99,0.92,73,94,96,114
11/03/2020,Dept_12,98,106,0.92,77,98,101,121
12/03/2020,Dept_12,109,117,0.93,88,110,116,137
13/03/2020,Dept_12,113,121,0.93,97,119,126,151
14/03/2020,Dept_12,125,133,0.94,107,131,136,162
15/03/2020,Dept_12,133,141,0.94,113,138,143,173
16/03/2020,Dept_12,139,147,0.95,126,153,153,183
17/03/2020,Dept_12,151,NA,,132,160,159,193
18/03/2020,Dept_12,158,NA,,140,168,166,201
19/03/2020,Dept_12,170,NA,,146,175,176,214
20/03/2020,Dept_12,174,NA,,154,183,180,219
21/03/2020,Dept_12,NA,NA,,160,189,193,232
22/03/2020,Dept_12,NA,NA,,167,197,202,242
23/03/2020,Dept_12,NA,NA,,176,206,211,253
24/03/2020,Dept_12,NA,NA,,183,213,220,264
25/03/2020,Dept_12,NA,NA,,191,222,225,271
26/03/2020,Dept_12,NA,NA,,196,227,231,278
27/03/2020,Dept_12,NA,NA,,203,235,237,286
28/03/2020,Dept_12,NA,NA,,212,245,243,293
29/03/2020,Dept_12,NA,NA,,219,252,253,304
30/03/2020,Dept_12,NA,NA,,227,262,266,317
31/03/2020,Dept_12,NA,NA,,236,272,271,324
01/03/2020,Dept_13,49,50,0.98,54,54,67,68
02/03/2020,Dept_13,95,97,0.98,108,108,136,137
03/03/2020,Dept_13,144,147,0.98,152,153,217,219
04/03/2020,Dept_13,204,207,0.99,214,215,270,274
05/03/2020,Dept_13,254,257,0.99,261,264,326,332
06/03/2020,Dept_13,304,308,0.99,322,325,396,403
07/03/2020,Dept_13,360,365,0.99,391,396,467,476
08/03/2020,Dept_13,423,430,0.98,448,453,521,530
09/03/2020,Dept_13,479,487,0.98,506,514,581,593
10/03/2020,Dept_13,535,552,0.97,556,565,625,637
11/03/2020,Dept_13,591,606,0.98,621,631,678,694
12/03/2020,Dept_13,NA,NA,,684,694,725,743
13/03/2020,Dept_13,NA,NA,,740,750,779,798
14/03/2020,Dept_13,NA,NA,,791,802,840,859
15/03/2020,Dept_13,NA,NA,,843,855,902,924
16/03/2020,Dept_13,NA,NA,,886,901,948,971
17/03/2020,Dept_13,NA,NA,,953,970,1002,1025
18/03/2020,Dept_13,NA,NA,,1001,1019,1044,1069
19/03/2020,Dept_13,NA,NA,,1063,1083,1089,1114
20/03/2020,Dept_13,NA,NA,,1116,1136,1125,1151
21/03/2020,Dept_13,NA,NA,,1161,1183,1180,1208
22/03/2020,Dept_13,NA,NA,,1207,1231,1240,1268
23/03/2020,Dept_13,NA,NA,,1251,1276,1295,1324
24/03/2020,Dept_13,NA,NA,,1298,1323,1350,1381
25/03/2020,Dept_13,NA,NA,,1342,1368,1413,1445
26/03/2020,Dept_13,NA,NA,,1383,1409,1465,1498
27/03/2020,Dept_13,NA,NA,,1444,1472,1515,1548
28/03/2020,Dept_13,NA,NA,,1499,1528,1569,1602
29/03/2020,Dept_13,NA,NA,,1555,1585,1617,1650
30/03/2020,Dept_13,NA,NA,,1592,1623,1684,1718
31/03/2020,Dept_13,NA,NA,,1641,1677,1737,1771
01/03/2020,Dept_14,15,19,0.79,14,17,23,25
02/03/2020,Dept_14,35,45,0.78,36,40,42,46
03/03/2020,Dept_14,52,67,0.78,55,62,82,87
04/03/2020,Dept_14,72,88,0.82,71,80,100,113
05/03/2020,Dept_14,87,104,0.84,94,106,125,144
06/03/2020,Dept_14,108,126,0.86,118,132,153,178
07/03/2020,Dept_14,128,151,0.85,135,154,176,204
08/03/2020,Dept_14,140,165,0.85,165,186,201,229
09/03/2020,Dept_14,157,187,0.84,180,204,221,257
10/03/2020,Dept_14,176,210,0.84,189,216,237,277
11/03/2020,Dept_14,207,241,0.86,210,237,266,312
12/03/2020,Dept_14,226,263,0.86,229,257,287,337
13/03/2020,Dept_14,243,280,0.87,251,282,299,354
14/03/2020,Dept_14,262,300,0.87,273,305,326,385
15/03/2020,Dept_14,281,319,0.88,287,323,344,408
16/03/2020,Dept_14,300,339,0.88,303,340,365,434
17/03/2020,Dept_14,319,NA,,327,368,382,456
18/03/2020,Dept_14,332,NA,,350,397,403,479
19/03/2020,Dept_14,354,NA,,370,419,428,507
20/03/2020,Dept_14,372,NA,,383,439,443,525
21/03/2020,Dept_14,NA,NA,,397,454,461,545
22/03/2020,Dept_14,NA,NA,,410,474,477,562
23/03/2020,Dept_14,NA,NA,,424,493,495,585
24/03/2020,Dept_14,NA,NA,,437,511,518,609
25/03/2020,Dept_14,NA,NA,,469,547,530,624
26/03/2020,Dept_14,NA,NA,,481,564,547,642
27/03/2020,Dept_14,NA,NA,,491,580,566,667
28/03/2020,Dept_14,NA,NA,,510,602,582,688
29/03/2020,Dept_14,NA,NA,,531,627,598,710
30/03/2020,Dept_14,NA,NA,,552,650,608,723
31/03/2020,Dept_14,NA,NA,,576,677,623,742
01/03/2020,Dept_15,3,5,0.6,1,3,3,5
02/03/2020,Dept_15,6,8,0.75,6,12,7,9
03/03/2020,Dept_15,10,13,0.77,8,16,10,17
04/03/2020,Dept_15,14,19,0.74,11,21,17,26
05/03/2020,Dept_15,17,24,0.71,15,27,23,35
06/03/2020,Dept_15,21,28,0.75,23,37,29,43
07/03/2020,Dept_15,23,31,0.74,26,40,36,52
08/03/2020,Dept_15,28,38,0.74,29,43,40,58
09/03/2020,Dept_15,31,41,0.76,34,50,48,66
10/03/2020,Dept_15,38,52,0.73,38,55,54,74
11/03/2020,Dept_15,39,54,0.72,42,60,60,83
12/03/2020,Dept_15,44,60,0.73,45,63,64,89
13/03/2020,Dept_15,47,63,0.75,51,73,72,98
14/03/2020,Dept_15,51,68,0.75,56,80,78,105
15/03/2020,Dept_15,56,74,0.76,59,85,81,110
16/03/2020,Dept_15,63,82,0.77,61,92,86,117
17/03/2020,Dept_15,73,NA,,65,98,90,123
