PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
POL,1,2000,4,b,65,5,1033,O,O
POL,1,2000,4,b,70,5,1380,O,O
POL,1,2000,4,b,75,5,1434,O,O
POL,1,2000,4,b,80,5,1098,O,O
POL,1,2000,4,b,85,5,1260,O,O
POL,1,2000,4,b,90,+,779,O,O
POL,1,2000,4,b,TOT,.,9380,O,O
POL,1,2000,4,b,UNK,.,0,O,O
POL,1,2000,5,m,0,5,37,O,O
POL,1,2000,5,m,5,5,1,O,O
POL,1,2000,5,m,10,5,6,O,O
POL,1,2000,5,m,15,5,26,O,O
POL,1,2000,5,m,20,5,40,O,O
POL,1,2000,5,m,25,5,31,O,O
POL,1,2000,5,m,30,5,46,O,O
POL,1,2000,5,m,35,5,81,O,O
POL,1,2000,5,m,40,5,155,O,O
POL,1,2000,5,m,45,5,260,O,O
POL,1,2000,5,m,50,5,287,O,O
POL,1,2000,5,m,55,5,280,O,O
POL,1,2000,5,m,60,5,437,O,O
POL,1,2000,5,m,65,5,655,O,O
POL,1,2000,5,m,70,5,698,O,O
POL,1,2000,5,m,75,5,736,O,O
POL,1,2000,5,m,80,5,452,O,O
POL,1,2000,5,m,85,5,395,O,O
POL,1,2000,5,m,90,+,180,O,O
POL,1,2000,5,m,TOT,.,4803,O,O
POL,1,2000,5,m,UNK,.,0,O,O
POL,1,2000,5,f,0,5,29,O,O
POL,1,2000,5,f,5,5,1,O,O
POL,1,2000,5,f,10,5,5,O,O
POL,1,2000,5,f,15,5,11,O,O
POL,1,2000,5,f,20,5,9,O,O
POL,1,2000,5,f,25,5,9,O,O
POL,1,2000,5,f,30,5,19,O,O
POL,1,2000,5,f,35,5,33,O,O
POL,1,2000,5,f,40,5,57,O,O
POL,1,2000,5,f,45,5,92,O,O
POL,1,2000,5,f,50,5,111,O,O
POL,1,2000,5,f,55,5,129,O,O
POL,1,2000,5,f,60,5,232,O,O
POL,1,2000,5,f,65,5,383,O,O
POL,1,2000,5,f,70,5,615,O,O
POL,1,2000,5,f,75,5,801,O,O
POL,1,2000,5,f,80,5,700,O,O
POL,1,2000,5,f,85,5,853,O,O
POL,1,2000,5,f,90,+,582,O,O
POL,1,2000,5,f,TOT,.,4671,O,O
POL,1,2000,5,f,UNK,.,0,O,O
POL,1,2000,5,b,0,5,66,O,O
POL,1,2000,5,b,5,5,2,O,O
POL,1,2000,5,b,10,5,11,O,O
POL,1,2000,5,b,15,5,37,O,O
POL,1,2000,5,b,20,5,49,O,O
POL,1,2000,5,b,25,5,40,O,O
POL,1,2000,5,b,30,5,65,O,O
POL,1,2000,5,b,35,5,114,O,O
POL,1,2000,5,b,40,5,212,O,O
POL,1,2000,5,b,45,5,352,O,O
POL,1,2000,5,b,50,5,398,O,O
POL,1,2000,5,b,55,5,409,O,O
POL,1,2000,5,b,60,5,669,O,O
POL,1,2000,5,b,65,5,1038,O,O
POL,1,2000,5,b,70,5,1313,O,O
POL,1,2000,5,b,75,5,1537,O,O
POL,1,2000,5,b,80,5,1152,O,O
POL,1,2000,5,b,85,5,1248,O,O
POL,1,2000,5,b,90,+,762,O,O
POL,1,2000,5,b,TOT,.,9474,O,O
POL,1,2000,5,b,UNK,.,0,O,O
POL,1,2000,6,m,0,5,43,O,O
POL,1,2000,6,m,5,5,2,O,O
POL,1,2000,6,m,10,5,9,O,O
POL,1,2000,6,m,15,5,25,O,O
POL,1,2000,6,m,20,5,26,O,O
POL,1,2000,6,m,25,5,35,O,O
POL,1,2000,6,m,30,5,42,O,O
POL,1,2000,6,m,35,5,70,O,O
POL,1,2000,6,m,40,5,164,O,O
POL,1,2000,6,m,45,5,216,O,O
POL,1,2000,6,m,50,5,288,O,O
POL,1,2000,6,m,55,5,292,O,O
POL,1,2000,6,m,60,5,426,O,O
POL,1,2000,6,m,65,5,536,O,O
POL,1,2000,6,m,70,5,686,O,O
POL,1,2000,6,m,75,5,635,O,O
POL,1,2000,6,m,80,5,362,O,O
POL,1,2000,6,m,85,5,358,O,O
POL,1,2000,6,m,90,+,139,O,O
POL,1,2000,6,m,TOT,.,4354,O,O
POL,1,2000,6,m,UNK,.,0,O,O
POL,1,2000,6,f,0,5,37,O,O
POL,1,2000,6,f,5,5,4,O,O
POL,1,2000,6,f,10,5,0,O,O
POL,1,2000,6,f,15,5,13,O,O
POL,1,2000,6,f,20,5,10,O,O
POL,1,2000,6,f,25,5,11,O,O
POL,1,2000,6,f,30,5,6,O,O
POL,1,2000,6,f,35,5,27,O,O
POL,1,2000,6,f,40,5,54,O,O
POL,1,2000,6,f,45,5,100,O,O
POL,1,2000,6,f,50,5,116,O,O
POL,1,2000,6,f,55,5,127,O,O
POL,1,2000,6,f,60,5,206,O,O
POL,1,2000,6,f,65,5,352,O,O
POL,1,2000,6,f,70,5,531,O,O
POL,1,2000,6,f,75,5,747,O,O
POL,1,2000,6,f,80,5,608,O,O
POL,1,2000,6,f,85,5,787,O,O
POL,1,2000,6,f,90,+,501,O,O
POL,1,2000,6,f,TOT,.,4237,O,O
POL,1,2000,6,f,UNK,.,0,O,O
POL,1,2000,6,b,0,5,80,O,O
POL,1,2000,6,b,5,5,6,O,O
POL,1,2000,6,b,10,5,9,O,O
POL,1,2000,6,b,15,5,38,O,O
POL,1,2000,6,b,20,5,36,O,O
POL,1,2000,6,b,25,5,46,O,O
POL,1,2000,6,b,30,5,48,O,O
POL,1,2000,6,b,35,5,97,O,O
POL,1,2000,6,b,40,5,218,O,O
POL,1,2000,6,b,45,5,316,O,O
POL,1,2000,6,b,50,5,404,O,O
POL,1,2000,6,b,55,5,419,O,O
POL,1,2000,6,b,60,5,632,O,O
POL,1,2000,6,b,65,5,888,O,O
POL,1,2000,6,b,70,5,1217,O,O
POL,1,2000,6,b,75,5,1382,O,O
POL,1,2000,6,b,80,5,970,O,O
POL,1,2000,6,b,85,5,1145,O,O
POL,1,2000,6,b,90,+,640,O,O
POL,1,2000,6,b,TOT,.,8591,O,O
POL,1,2000,6,b,UNK,.,0,O,O
POL,1,2000,7,m,0,5,41,O,O
POL,1,2000,7,m,5,5,5,O,O
POL,1,2000,7,m,10,5,7,O,O
POL,1,2000,7,m,15,5,26,O,O
POL,1,2000,7,m,20,5,41,O,O
POL,1,2000,7,m,25,5,37,O,O
POL,1,2000,7,m,30,5,50,O,O
POL,1,2000,7,m,35,5,87,O,O
POL,1,2000,7,m,40,5,128,O,O
POL,1,2000,7,m,45,5,200,O,O
POL,1,2000,7,m,50,5,274,O,O
POL,1,2000,7,m,55,5,279,O,O
POL,1,2000,7,m,60,5,402,O,O
POL,1,2000,7,m,65,5,523,O,O
POL,1,2000,7,m,70,5,626,O,O
POL,1,2000,7,m,75,5,584,O,O
POL,1,2000,7,m,80,5,317,O,O
POL,1,2000,7,m,85,5,311,O,O
POL,1,2000,7,m,90,+,135,O,O
POL,1,2000,7,m,TOT,.,4073,O,O
POL,1,2000,7,m,UNK,.,0,O,O
POL,1,2000,7,f,0,5,35,O,O
POL,1,2000,7,f,5,5,4,O,O
POL,1,2000,7,f,10,5,5,O,O
POL,1,2000,7,f,15,5,5,O,O
POL,1,2000,7,f,20,5,8,O,O
POL,1,2000,7,f,25,5,5,O,O
POL,1,2000,7,f,30,5,10,O,O
POL,1,2000,7,f,35,5,22,O,O
POL,1,2000,7,f,40,5,76,O,O
POL,1,2000,7,f,45,5,79,O,O
POL,1,2000,7,f,50,5,105,O,O
POL,1,2000,7,f,55,5,105,O,O
POL,1,2000,7,f,60,5,196,O,O
POL,1,2000,7,f,65,5,325,O,O
POL,1,2000,7,f,70,5,466,O,O
POL,1,2000,7,f,75,5,642,O,O
POL,1,2000,7,f,80,5,540,O,O
POL,1,2000,7,f,85,5,683,O,O
POL,1,2000,7,f,90,+,457,O,O
POL,1,2000,7,f,TOT,.,3768,O,O
POL,1,2000,7,f,UNK,.,0,O,O
POL,1,2000,7,b,0,5,76,O,O
POL,1,2000,7,b,5,5,9,O,O
POL,1,2000,7,b,10,5,12,O,O
POL,1,2000,7,b,15,5,31,O,O
POL,1,2000,7,b,20,5,49,O,O
POL,1,2000,7,b,25,5,42,O,O
POL,1,2000,7,b,30,5,60,O,O
POL,1,2000,7,b,35,5,109,O,O
POL,1,2000,7,b,40,5,204,O,O
POL,1,2000,7,b,45,5,279,O,O
POL,1,2000,7,b,50,5,379,O,O
POL,1,2000,7,b,55,5,384,O,O
