PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
TWN,1,2000,5,m,100,+,4,O,O
TWN,1,2000,5,m,TOT,.,1656,O,O
TWN,1,2000,5,f,0,5,19,O,O
TWN,1,2000,5,f,5,5,2,O,O
TWN,1,2000,5,f,10,5,1,O,O
TWN,1,2000,5,f,15,5,6,O,O
TWN,1,2000,5,f,20,5,9,O,O
TWN,1,2000,5,f,25,5,2,O,O
TWN,1,2000,5,f,30,5,14,O,O
TWN,1,2000,5,f,35,5,15,O,O
TWN,1,2000,5,f,40,5,29,O,O
TWN,1,2000,5,f,45,5,30,O,O
TWN,1,2000,5,f,50,5,23,O,O
TWN,1,2000,5,f,55,5,44,O,O
TWN,1,2000,5,f,60,5,63,O,O
TWN,1,2000,5,f,65,5,103,O,O
TWN,1,2000,5,f,70,5,136,O,O
TWN,1,2000,5,f,75,5,157,O,O
TWN,1,2000,5,f,80,5,150,O,O
TWN,1,2000,5,f,85,5,116,O,O
TWN,1,2000,5,f,90,5,83,O,O
TWN,1,2000,5,f,95,5,25,O,O
TWN,1,2000,5,f,100,+,4,O,O
TWN,1,2000,5,f,TOT,.,1031,O,O
TWN,1,2000,5,b,0,5,45,O,O
TWN,1,2000,5,b,5,5,3,O,O
TWN,1,2000,5,b,10,5,5,O,O
TWN,1,2000,5,b,15,5,23,O,O
TWN,1,2000,5,b,20,5,28,O,O
TWN,1,2000,5,b,25,5,23,O,O
TWN,1,2000,5,b,30,5,62,O,O
TWN,1,2000,5,b,35,5,58,O,O
TWN,1,2000,5,b,40,5,113,O,O
TWN,1,2000,5,b,45,5,112,O,O
TWN,1,2000,5,b,50,5,96,O,O
TWN,1,2000,5,b,55,5,129,O,O
TWN,1,2000,5,b,60,5,180,O,O
TWN,1,2000,5,b,65,5,286,O,O
TWN,1,2000,5,b,70,5,365,O,O
TWN,1,2000,5,b,75,5,404,O,O
TWN,1,2000,5,b,80,5,339,O,O
TWN,1,2000,5,b,85,5,234,O,O
TWN,1,2000,5,b,90,5,138,O,O
TWN,1,2000,5,b,95,5,36,O,O
TWN,1,2000,5,b,100,+,8,O,O
TWN,1,2000,5,b,TOT,.,2687,O,O
TWN,1,2000,6,m,0,5,32,O,O
TWN,1,2000,6,m,5,5,5,O,O
TWN,1,2000,6,m,10,5,2,O,O
TWN,1,2000,6,m,15,5,19,O,O
TWN,1,2000,6,m,20,5,27,O,O
TWN,1,2000,6,m,25,5,26,O,O
TWN,1,2000,6,m,30,5,32,O,O
TWN,1,2000,6,m,35,5,51,O,O
TWN,1,2000,6,m,40,5,77,O,O
TWN,1,2000,6,m,45,5,90,O,O
TWN,1,2000,6,m,50,5,86,O,O
TWN,1,2000,6,m,55,5,121,O,O
TWN,1,2000,6,m,60,5,132,O,O
TWN,1,2000,6,m,65,5,183,O,O
TWN,1,2000,6,m,70,5,267,O,O
TWN,1,2000,6,m,75,5,237,O,O
TWN,1,2000,6,m,80,5,184,O,O
TWN,1,2000,6,m,85,5,109,O,O
TWN,1,2000,6,m,90,5,42,O,O
TWN,1,2000,6,m,95,5,6,O,O
TWN,1,2000,6,m,100,+,0,O,O
TWN,1,2000,6,m,TOT,.,1728,O,O
TWN,1,2000,6,f,0,5,22,O,O
TWN,1,2000,6,f,5,5,8,O,O
TWN,1,2000,6,f,10,5,6,O,O
TWN,1,2000,6,f,15,5,7,O,O
TWN,1,2000,6,f,20,5,7,O,O
TWN,1,2000,6,f,25,5,12,O,O
TWN,1,2000,6,f,30,5,20,O,O
TWN,1,2000,6,f,35,5,18,O,O
TWN,1,2000,6,f,40,5,31,O,O
TWN,1,2000,6,f,45,5,37,O,O
TWN,1,2000,6,f,50,5,34,O,O
TWN,1,2000,6,f,55,5,44,O,O
TWN,1,2000,6,f,60,5,63,O,O
TWN,1,2000,6,f,65,5,95,O,O
TWN,1,2000,6,f,70,5,154,O,O
TWN,1,2000,6,f,75,5,142,O,O
TWN,1,2000,6,f,80,5,156,O,O
TWN,1,2000,6,f,85,5,103,O,O
TWN,1,2000,6,f,90,5,100,O,O
TWN,1,2000,6,f,95,5,27,O,O
TWN,1,2000,6,f,100,+,7,O,O
TWN,1,2000,6,f,TOT,.,1093,O,O
TWN,1,2000,6,b,0,5,54,O,O
TWN,1,2000,6,b,5,5,13,O,O
TWN,1,2000,6,b,10,5,8,O,O
TWN,1,2000,6,b,15,5,26,O,O
TWN,1,2000,6,b,20,5,34,O,O
TWN,1,2000,6,b,25,5,38,O,O
TWN,1,2000,6,b,30,5,52,O,O
TWN,1,2000,6,b,35,5,69,O,O
TWN,1,2000,6,b,40,5,108,O,O
TWN,1,2000,6,b,45,5,127,O,O
TWN,1,2000,6,b,50,5,120,O,O
TWN,1,2000,6,b,55,5,165,O,O
TWN,1,2000,6,b,60,5,195,O,O
TWN,1,2000,6,b,65,5,278,O,O
TWN,1,2000,6,b,70,5,421,O,O
TWN,1,2000,6,b,75,5,379,O,O
TWN,1,2000,6,b,80,5,340,O,O
TWN,1,2000,6,b,85,5,212,O,O
TWN,1,2000,6,b,90,5,142,O,O
TWN,1,2000,6,b,95,5,33,O,O
TWN,1,2000,6,b,100,+,7,O,O
TWN,1,2000,6,b,TOT,.,2821,O,O
TWN,1,2000,7,m,0,5,19,O,O
TWN,1,2000,7,m,5,5,6,O,O
TWN,1,2000,7,m,10,5,3,O,O
TWN,1,2000,7,m,15,5,18,O,O
TWN,1,2000,7,m,20,5,16,O,O
TWN,1,2000,7,m,25,5,26,O,O
TWN,1,2000,7,m,30,5,22,O,O
TWN,1,2000,7,m,35,5,48,O,O
TWN,1,2000,7,m,40,5,72,O,O
TWN,1,2000,7,m,45,5,87,O,O
TWN,1,2000,7,m,50,5,80,O,O
TWN,1,2000,7,m,55,5,99,O,O
TWN,1,2000,7,m,60,5,119,O,O
