CY,Week,Ending,Age,NumberOfDeaths,Expected,lowerB,upperB,Excess
2010,41,17.10.2010,0-64,189,183,148,218,
2010,42,24.10.2010,0-64,183,183,148,218,
2010,43,31.10.2010,0-64,181,183,148,218,
2010,44,07.11.2010,0-64,178,183,148,218,
2010,45,14.11.2010,0-64,169,183,148,218,
2010,46,21.11.2010,0-64,182,183,148,218,
2010,47,28.11.2010,0-64,180,183,148,218,
2010,48,05.12.2010,0-64,185,183,149,218,
2010,49,12.12.2010,0-64,188,184,149,218,
2010,50,19.12.2010,0-64,191,184,149,219,
2010,51,26.12.2010,0-64,209,184,149,219,
2010,52,02.01.2011,0-64,197,184,149,219,
2010,1,10.01.2010,65+,1100,1156,1068,1243,
2010,2,17.01.2010,65+,1071,1149,1061,1236,
2010,3,24.01.2010,65+,1005,1141,1054,1228,
2010,4,31.01.2010,65+,1039,1133,1047,1220,
2010,5,07.02.2010,65+,1110,1125,1039,1211,
2010,6,14.02.2010,65+,1057,1117,1031,1203,
2010,7,21.02.2010,65+,1203,1109,1023,1194,1203
2010,8,28.02.2010,65+,1131,1095,1010,1180,
2010,9,07.03.2010,65+,1119,1082,997,1166,
2010,10,14.03.2010,65+,1131,1065,981,1149,
2010,11,21.03.2010,65+,1114,1049,965,1132,
2010,12,28.03.2010,65+,1048,1033,950,1115,
2010,13,04.04.2010,65+,1049,1017,934,1099,
2010,14,11.04.2010,65+,970,1002,920,1083,
2010,15,18.04.2010,65+,987,988,907,1069,
2010,16,25.04.2010,65+,971,975,895,1056,
2010,17,02.05.2010,65+,964,965,885,1045,
2010,18,09.05.2010,65+,976,954,875,1034,
2010,19,16.05.2010,65+,974,947,868,1026,
2010,20,23.05.2010,65+,985,939,860,1018,
2010,21,30.05.2010,65+,961,934,855,1013,
2010,22,06.06.2010,65+,898,930,851,1008,
2010,23,13.06.2010,65+,946,926,847,1004,
2010,24,20.06.2010,65+,887,922,844,1000,
2010,25,27.06.2010,65+,907,919,841,997,
2010,26,04.07.2010,65+,956,915,837,993,
2010,27,11.07.2010,65+,918,912,835,990,
2010,28,18.07.2010,65+,936,910,832,988,
2010,29,25.07.2010,65+,870,907,830,985,
2010,30,01.08.2010,65+,922,905,827,982,
2010,31,08.08.2010,65+,914,902,825,980,
2010,32,15.08.2010,65+,911,903,826,981,
2010,33,22.08.2010,65+,882,904,827,982,
2010,34,29.08.2010,65+,938,909,831,987,
2010,35,05.09.2010,65+,938,915,837,993,
2010,36,12.09.2010,65+,993,920,842,999,
2010,37,19.09.2010,65+,945,927,849,1005,
2010,38,26.09.2010,65+,996,934,856,1013,
2010,39,03.10.2010,65+,1035,942,863,1021,1035
2010,40,10.10.2010,65+,1018,950,871,1029,
2010,41,17.10.2010,65+,1060,959,879,1038,1060
2010,42,24.10.2010,65+,976,967,887,1048,
2010,43,31.10.2010,65+,1036,978,897,1058,
2010,44,07.11.2010,65+,1059,988,907,1069,
2010,45,14.11.2010,65+,1054,999,918,1081,
2010,46,21.11.2010,65+,993,1011,929,1093,
2010,47,28.11.2010,65+,1017,1025,943,1108,
2010,48,05.12.2010,65+,1030,1041,958,1124,
2010,49,12.12.2010,65+,1085,1057,974,1141,
2010,50,19.12.2010,65+,1092,1073,989,1158,
2010,51,26.12.2010,65+,1060,1089,1004,1174,
2010,52,02.01.2011,65+,1122,1105,1019,1190,
2011,1,09.01.2011,0-64,199,193,157,229,
2011,2,16.01.2011,0-64,172,193,157,228,
2011,3,23.01.2011,0-64,213,192,156,228,
2011,4,30.01.2011,0-64,188,191,156,227,
2011,5,06.02.2011,0-64,219,191,155,226,
2011,6,13.02.2011,0-64,188,190,155,226,
2011,7,20.02.2011,0-64,167,190,154,225,
2011,8,27.02.2011,0-64,199,189,154,225,
2011,9,06.03.2011,0-64,196,189,153,224,
2011,10,13.03.2011,0-64,174,188,153,223,
2011,11,20.03.2011,0-64,180,187,152,223,
2011,12,27.03.2011,0-64,165,187,152,222,
2011,13,03.04.2011,0-64,192,186,151,221,
2011,14,10.04.2011,0-64,170,186,151,221,
2011,15,17.04.2011,0-64,173,185,150,220,
2011,16,24.04.2011,0-64,164,184,149,219,
2011,17,01.05.2011,0-64,166,184,149,219,
2011,18,08.05.2011,0-64,180,183,148,218,
2011,19,15.05.2011,0-64,182,182,148,217,
2011,20,22.05.2011,0-64,187,181,147,216,
2011,21,29.05.2011,0-64,175,181,146,215,
2011,22,05.06.2011,0-64,178,180,146,215,
2011,23,12.06.2011,0-64,160,180,145,214,
2011,24,19.06.2011,0-64,170,179,145,214,
2011,25,26.06.2011,0-64,170,179,145,213,
2011,26,03.07.2011,0-64,186,179,144,213,
2011,27,10.07.2011,0-64,172,178,144,213,
2011,28,17.07.2011,0-64,172,178,144,213,
2011,29,24.07.2011,0-64,179,178,144,212,
2011,30,31.07.2011,0-64,157,178,144,212,
2011,31,07.08.2011,0-64,154,178,144,212,
2011,32,14.08.2011,0-64,191,178,144,212,
2011,33,21.08.2011,0-64,182,178,144,212,
2011,34,28.08.2011,0-64,181,178,144,212,
2011,35,04.09.2011,0-64,192,178,144,213,
2011,36,11.09.2011,0-64,181,179,144,213,
2011,37,18.09.2011,0-64,161,179,144,213,
2011,38,25.09.2011,0-64,182,179,145,214,
2011,39,02.10.2011,0-64,179,179,145,214,
2011,40,09.10.2011,0-64,171,180,145,214,
2011,41,16.10.2011,0-64,191,180,145,214,
2011,42,23.10.2011,0-64,177,180,146,215,
2011,43,30.10.2011,0-64,194,180,146,215,
2011,44,06.11.2011,0-64,156,181,146,215,
2011,45,13.11.2011,0-64,177,181,146,215,
2011,46,20.11.2011,0-64,195,181,146,216,
2011,47,27.11.2011,0-64,175,181,147,216,
2011,48,04.12.2011,0-64,168,182,147,216,
2011,49,11.12.2011,0-64,184,182,147,216,
2011,50,18.12.2011,0-64,191,182,147,217,
2011,51,25.12.2011,0-64,197,182,147,217,
2011,52,01.01.2012,0-64,171,182,148,217,
2011,1,09.01.2011,65+,1155,1153,1066,1241,
2011,2,16.01.2011,65+,1118,1150,1062,1237,
2011,3,23.01.2011,65+,1033,1146,1059,1233,
2011,4,30.01.2011,65+,1106,1142,1055,1229,
2011,5,06.02.2011,65+,1049,1138,1051,1225,
2011,6,13.02.2011,65+,1059,1134,1048,1221,
2011,7,20.02.2011,65+,1094,1130,1043,1217,
2011,8,27.02.2011,65+,1074,1119,1033,1205,
2011,9,06.03.2011,65+,1050,1108,1022,1193,
2011,10,13.03.2011,65+,1109,1092,1007,1177,
2011,11,20.03.2011,65+,1065,1076,991,1160,
2011,12,27.03.2011,65+,1017,1057,973,1140,
2011,13,03.04.2011,65+,1084,1038,955,1121,
2011,14,10.04.2011,65+,1049,1021,939,1104,
2011,15,17.04.2011,65+,895,1008,926,1090,
2011,16,24.04.2011,65+,1027,995,914,1076,
2011,17,01.05.2011,65+,992,985,904,1065,
2011,18,08.05.2011,65+,1011,974,894,1055,
2011,19,15.05.2011,65+,923,965,885,1045,
2011,20,22.05.2011,65+,920,956,877,1036,
2011,21,29.05.2011,65+,901,949,870,1029,
2011,22,05.06.2011,65+,927,946,867,1025,
2011,23,12.06.2011,65+,906,943,864,1022,
2011,24,19.06.2011,65+,928,941,862,1020,
2011,25,26.06.2011,65+,926,938,859,1016,
2011,26,03.07.2011,65+,955,934,855,1013,
2011,27,10.07.2011,65+,929,931,853,1010,
2011,28,17.07.2011,65+,938,928,849,1006,
2011,29,24.07.2011,65+,908,924,846,1002,
2011,30,31.07.2011,65+,989,921,842,999,
2011,31,07.08.2011,65+,955,917,839,995,
2011,32,14.08.2011,65+,892,919,841,997,
2011,33,21.08.2011,65+,968,921,843,999,
2011,34,28.08.2011,65+,1024,925,847,1003,1024
2011,35,04.09.2011,65+,933,931,852,1009,
2011,36,11.09.2011,65+,930,936,857,1015,
2011,37,18.09.2011,65+,924,943,864,1022,
2011,38,25.09.2011,65+,931,951,871,1030,
2011,39,02.10.2011,65+,953,958,879,1038,
2011,40,09.10.2011,65+,970,966,886,1046,
2011,41,16.10.2011,65+,1005,974,893,1054,
2011,42,23.10.2011,65+,939,981,900,1062,
2011,43,30.10.2011,65+,1060,991,910,1072,
2011,44,06.11.2011,65+,1030,1001,919,1082,
2011,45,13.11.2011,65+,991,1013,931,1095,
2011,46,20.11.2011,65+,1004,1024,942,1107,
2011,47,27.11.2011,65+,1048,1039,956,1122,
2011,48,04.12.2011,65+,1087,1057,973,1141,
2011,49,11.12.2011,65+,1057,1075,990,1159,
2011,50,18.12.2011,65+,1090,1092,1007,1177,
2011,51,25.12.2011,65+,1084,1109,1023,1195,
2011,52,01.01.2012,65+,1065,1126,1040,1213,
2012,1,08.01.2012,0-64,175,188,152,223,
2012,2,15.01.2012,0-64,198,187,152,222,
2012,3,22.01.2012,0-64,163,186,151,222,
2012,4,29.01.2012,0-64,189,186,151,221,
2012,5,05.02.2012,0-64,199,185,150,220,
2012,6,12.02.2012,0-64,218,185,150,220,
2012,7,19.02.2012,0-64,206,184,149,219,
2012,8,26.02.2012,0-64,181,184,149,218,
2012,9,04.03.2012,0-64,198,183,148,218,
2012,10,11.03.2012,0-64,181,182,148,217,
2012,11,18.03.2012,0-64,210,182,147,217,
2012,12,25.03.2012,0-64,180,181,147,216,
2012,13,01.04.2012,0-64,187,181,146,215,
2012,14,08.04.2012,0-64,202,180,146,215,
2012,15,15.04.2012,0-64,182,179,145,214,
2012,16,22.04.2012,0-64,189,179,144,213,
2012,17,29.04.2012,0-64,207,178,144,213,
2012,18,06.05.2012,0-64,167,178,143,212,
2012,19,13.05.2012,0-64,195,177,143,211,
2012,20,20.05.2012,0-64,161,176,142,211,
2012,21,27.05.2012,0-64,175,176,142,210,
2012,22,03.06.2012,0-64,177,175,141,209,
2012,23,10.06.2012,0-64,162,175,141,209,
2012,24,17.06.2012,0-64,183,175,141,209,
2012,25,24.06.2012,0-64,185,174,140,208,
2012,26,01.07.2012,0-64,190,174,140,208,
2012,27,08.07.2012,0-64,194,174,140,208,
2012,28,15.07.2012,0-64,178,174,140,207,
2012,29,22.07.2012,0-64,140,173,140,207,
2012,30,29.07.2012,0-64,185,173,139,207,
2012,31,05.08.2012,0-64,177,173,139,207,
2012,32,12.08.2012,0-64,166,173,139,207,
2012,33,19.08.2012,0-64,169,173,140,207,
2012,34,26.08.2012,0-64,201,173,140,207,
2012,35,02.09.2012,0-64,167,174,140,208,
2012,36,09.09.2012,0-64,172,174,140,208,
2012,37,16.09.2012,0-64,189,174,140,208,
2012,38,23.09.2012,0-64,180,174,140,208,
2012,39,30.09.2012,0-64,176,175,141,209,
2012,40,07.10.2012,0-64,180,175,141,209,
2012,41,14.10.2012,0-64,162,175,141,209,
2012,42,21.10.2012,0-64,149,175,141,209,
2012,43,28.10.2012,0-64,181,176,141,210,
2012,44,04.11.2012,0-64,187,176,142,210,
2012,45,11.11.2012,0-64,190,176,142,210,
2012,46,18.11.2012,0-64,183,177,142,211,
2012,47,25.11.2012,0-64,192,177,143,211,
2012,48,02.12.2012,0-64,143,177,143,211,
2012,49,09.12.2012,0-64,168,177,143,212,
2012,50,16.12.2012,0-64,163,178,143,212,
2012,51,23.12.2012,0-64,178,178,144,212,
2012,52,30.12.2012,0-64,202,178,144,213,
2012,1,08.01.2012,65+,1174,1156,1068,1244,
2012,2,15.01.2012,65+,1153,1153,1065,1240,
2012,3,22.01.2012,65+,1181,1149,1062,1236,
2012,4,29.01.2012,65+,1148,1146,1059,1233,
2012,5,05.02.2012,65+,1137,1142,1055,1229,
2012,6,12.02.2012,65+,1197,1138,1052,1225,
2012,7,19.02.2012,65+,1218,1135,1048,1222,
2012,8,26.02.2012,65+,1216,1125,1038,1211,1216
2012,9,04.03.2012,65+,1209,1115,1029,1201,1209
2012,10,11.03.2012,65+,1146,1099,1013,1184,
2012,11,18.03.2012,65+,1182,1082,998,1167,1182
2012,12,25.03.2012,65+,1048,1062,978,1146,
2012,13,01.04.2012,65+,1121,1042,959,1126,
2012,14,08.04.2012,65+,1082,1025,943,1108,
2012,15,15.04.2012,65+,1092,1010,929,1092,
2012,16,22.04.2012,65+,1018,996,914,1077,
2012,17,29.04.2012,65+,1088,985,904,1066,1088
2012,18,06.05.2012,65+,987,974,894,1054,
2012,19,13.05.2012,65+,979,966,886,1046,
2012,20,20.05.2012,65+,941,957,878,1037,
2012,21,27.05.2012,65+,921,950,871,1030,
2012,22,03.06.2012,65+,951,947,868,1026,
2012,23,10.06.2012,65+,873,944,865,1023,
2012,24,17.06.2012,65+,985,941,862,1020,
2012,25,24.06.2012,65+,956,937,858,1016,
2012,26,01.07.2012,65+,945,933,854,1012,
2012,27,08.07.2012,65+,903,929,850,1007,
2012,28,15.07.2012,65+,925,925,847,1003,
2012,29,22.07.2012,65+,933,921,843,1000,
2012,30,29.07.2012,65+,957,920,842,998,
2012,31,05.08.2012,65+,945,918,840,996,
2012,32,12.08.2012,65+,858,921,843,999,
2012,33,19.08.2012,65+,949,924,845,1002,
2012,34,26.08.2012,65+,979,928,850,1007,
2012,35,02.09.2012,65+,914,934,855,1012,
2012,36,09.09.2012,65+,955,939,860,1018,
2012,37,16.09.2012,65+,970,944,865,1023,
2012,38,23.09.2012,65+,993,950,871,1030,
2012,39,30.09.2012,65+,979,957,877,1036,
2012,40,07.10.2012,65+,1057,965,885,1045,1057
2012,41,14.10.2012,65+,1018,972,892,1053,
2012,42,21.10.2012,65+,993,980,900,1061,
2012,43,28.10.2012,65+,1064,991,910,1072,
2012,44,04.11.2012,65+,986,1002,920,1083,
2012,45,11.11.2012,65+,994,1015,933,1097,
2012,46,18.11.2012,65+,1024,1028,945,1111,
2012,47,25.11.2012,65+,1073,1043,960,1126,
2012,48,02.12.2012,65+,1067,1059,975,1143,
2012,49,09.12.2012,65+,1095,1075,991,1160,
2012,50,16.12.2012,65+,1103,1091,1006,1176,
2012,51,23.12.2012,65+,1094,1107,1021,1193,
2012,52,30.12.2012,65+,1140,1123,1036,1209,
2013,1,06.01.2013,0-64,194,185,150,220,
2013,2,13.01.2013,0-64,174,185,150,220,
2013,3,20.01.2013,0-64,204,184,149,219,
2013,4,27.01.2013,0-64,192,184,149,218,
2013,5,03.02.2013,0-64,207,183,148,218,
2013,6,10.02.2013,0-64,195,182,148,217,
2013,7,17.02.2013,0-64,232,182,147,217,232
2013,8,24.02.2013,0-64,193,181,147,216,
2013,9,03.03.2013,0-64,206,181,146,215,
2013,10,10.03.2013,0-64,151,180,146,215,
2013,11,17.03.2013,0-64,192,180,145,214,
2013,12,24.03.2013,0-64,203,179,145,213,
2013,13,31.03.2013,0-64,182,178,144,213,
2013,14,07.04.2013,0-64,185,178,144,212,
2013,15,14.04.2013,0-64,161,177,143,212,
2013,16,21.04.2013,0-64,170,177,142,211,
2013,17,28.04.2013,0-64,191,176,142,210,
2013,18,05.05.2013,0-64,184,175,141,209,
2013,19,12.05.2013,0-64,170,175,141,209,
2013,20,19.05.2013,0-64,173,174,140,208,
2013,21,26.05.2013,0-64,164,173,139,207,
2013,22,02.06.2013,0-64,184,173,139,207,
2013,23,09.06.2013,0-64,153,173,139,207,
2013,24,16.06.2013,0-64,182,172,139,206,
2013,25,23.06.2013,0-64,169,172,138,206,
2013,26,30.06.2013,0-64,191,172,138,205,
2013,27,07.07.2013,0-64,174,171,138,205,
2013,28,14.07.2013,0-64,175,171,138,205,
2013,29,21.07.2013,0-64,161,171,138,205,
2013,30,28.07.2013,0-64,176,171,138,205,
2013,31,04.08.2013,0-64,174,171,137,205,
2013,32,11.08.2013,0-64,174,171,138,205,
2013,33,18.08.2013,0-64,185,171,138,205,
2013,34,25.08.2013,0-64,176,171,138,205,
2013,35,01.09.2013,0-64,188,172,138,206,
2013,36,08.09.2013,0-64,162,172,138,206,
2013,37,15.09.2013,0-64,164,172,139,206,
2013,38,22.09.2013,0-64,168,173,139,206,
2013,39,29.09.2013,0-64,179,173,139,207,
2013,40,06.10.2013,0-64,195,173,139,207,
2013,41,13.10.2013,0-64,165,174,140,208,
2013,42,20.10.2013,0-64,158,174,140,208,
2013,43,27.10.2013,0-64,181,174,140,208,
2013,44,03.11.2013,0-64,166,175,141,209,
2013,45,10.11.2013,0-64,168,175,141,209,
2013,46,17.11.2013,0-64,161,176,141,210,
2013,47,24.11.2013,0-64,179,176,142,210,
2013,48,01.12.2013,0-64,165,176,142,211,
2013,49,08.12.2013,0-64,201,177,143,211,
2013,50,15.12.2013,0-64,180,177,143,211,
2013,51,22.12.2013,0-64,190,178,143,212,
2013,52,29.12.2013,0-64,169,178,144,212,
2013,1,06.01.2013,65+,1093,1184,1096,1273,
2013,2,13.01.2013,65+,1238,1182,1094,1271,
2013,3,20.01.2013,65+,1191,1180,1092,1269,
2013,4,27.01.2013,65+,1212,1178,1090,1266,
2013,5,03.02.2013,65+,1223,1176,1087,1264,
2013,6,10.02.2013,65+,1256,1173,1085,1261,
2013,7,17.02.2013,65+,1264,1171,1083,1259,1264
2013,8,24.02.2013,65+,1230,1162,1074,1250,
2013,9,03.03.2013,65+,1255,1152,1065,1240,1255
2013,10,10.03.2013,65+,1305,1136,1049,1222,1305
2013,11,17.03.2013,65+,1227,1119,1033,1205,1227
2013,12,24.03.2013,65+,1146,1098,1012,1183,
2013,13,31.03.2013,65+,1170,1077,992,1161,1170
2013,14,07.04.2013,65+,1132,1059,975,1142,
2013,15,14.04.2013,65+,1107,1043,960,1126,
2013,16,21.04.2013,65+,1043,1028,945,1111,
2013,17,28.04.2013,65+,1054,1016,933,1098,
2013,18,05.05.2013,65+,968,1003,922,1085,
2013,19,12.05.2013,65+,935,992,911,1073,
2013,20,19.05.2013,65+,981,981,901,1062,
2013,21,26.05.2013,65+,937,971,891,1052,
2013,22,02.06.2013,65+,935,966,886,1046,
2013,23,09.06.2013,65+,986,961,881,1041,
2013,24,16.06.2013,65+,992,958,878,1038,
2013,25,23.06.2013,65+,1002,956,876,1035,
2013,26,30.06.2013,65+,909,953,874,1033,
2013,27,07.07.2013,65+,991,952,872,1031,
2013,28,14.07.2013,65+,924,950,870,1029,
2013,29,21.07.2013,65+,1012,948,868,1027,
2013,30,28.07.2013,65+,1020,947,867,1026,
2013,31,04.08.2013,65+,967,946,867,1025,
2013,32,11.08.2013,65+,910,948,869,1028,
2013,33,18.08.2013,65+,993,951,871,1030,
2013,34,25.08.2013,65+,948,955,875,1034,
2013,35,01.09.2013,65+,975,960,880,1040,
2013,36,08.09.2013,65+,996,965,885,1045,
2013,37,15.09.2013,65+,942,970,889,1050,
2013,38,22.09.2013,65+,992,975,894,1055,
2013,39,29.09.2013,65+,989,980,899,1060,
2013,40,06.10.2013,65+,920,987,906,1068,
2013,41,13.10.2013,65+,980,995,914,1077,
2013,42,20.10.2013,65+,984,1003,922,1085,
2013,43,27.10.2013,65+,1024,1015,933,1097,
2013,44,03.11.2013,65+,1030,1027,945,1110,
2013,45,10.11.2013,65+,1035,1042,959,1125,
2013,46,17.11.2013,65+,1007,1057,974,1141,
2013,47,24.11.2013,65+,1061,1073,988,1157,
2013,48,01.12.2013,65+,1049,1088,1003,1173,
2013,49,08.12.2013,65+,1128,1103,1018,1189,
2013,50,15.12.2013,65+,1076,1118,1032,1204,
2013,51,22.12.2013,65+,1031,1132,1046,1219,
2013,52,29.12.2013,65+,1106,1147,1060,1234,
2014,1,05.01.2014,0-64,166,185,150,220,
2014,2,12.01.2014,0-64,160,185,150,220,
2014,3,19.01.2014,0-64,215,184,149,219,
2014,4,26.01.2014,0-64,184,183,148,218,
2014,5,02.02.2014,0-64,149,182,148,217,
2014,6,09.02.2014,0-64,167,182,147,217,
2014,7,16.02.2014,0-64,205,181,146,216,
2014,8,23.02.2014,0-64,191,180,146,215,
2014,9,02.03.2014,0-64,198,180,145,214,
2014,10,09.03.2014,0-64,184,179,145,213,
2014,11,16.03.2014,0-64,178,178,144,213,
2014,12,23.03.2014,0-64,172,178,143,212,
2014,13,30.03.2014,0-64,183,177,143,211,
2014,14,06.04.2014,0-64,188,176,142,211,
2014,15,13.04.2014,0-64,177,176,141,210,
2014,16,20.04.2014,0-64,170,175,141,209,
2014,17,27.04.2014,0-64,156,174,140,208,
2014,18,04.05.2014,0-64,141,173,139,207,
2014,19,11.05.2014,0-64,208,173,139,206,208
2014,20,18.05.2014,0-64,165,172,138,206,
2014,21,25.05.2014,0-64,170,171,137,205,
2014,22,01.06.2014,0-64,176,171,137,204,
2014,23,08.06.2014,0-64,163,170,137,204,
2014,24,15.06.2014,0-64,158,170,136,203,
2014,25,22.06.2014,0-64,159,169,136,203,
2014,26,29.06.2014,0-64,163,169,136,203,
2014,27,06.07.2014,0-64,163,169,135,202,
2014,28,13.07.2014,0-64,150,169,135,202,
2014,29,20.07.2014,0-64,167,168,135,202,
2014,30,27.07.2014,0-64,165,168,135,202,
2014,31,03.08.2014,0-64,159,168,135,202,
2014,32,10.08.2014,0-64,154,168,135,202,
2014,33,17.08.2014,0-64,142,168,135,202,
2014,34,24.08.2014,0-64,160,168,135,202,
2014,35,31.08.2014,0-64,163,169,135,202,
2014,36,07.09.2014,0-64,188,169,135,202,
2014,37,14.09.2014,0-64,141,169,136,203,
2014,38,21.09.2014,0-64,157,170,136,203,
2014,39,28.09.2014,0-64,169,170,136,204,
2014,40,05.10.2014,0-64,167,170,137,204,
2014,41,12.10.2014,0-64,188,171,137,205,
2014,42,19.10.2014,0-64,149,172,138,205,
2014,43,26.10.2014,0-64,158,172,138,206,
2014,44,02.11.2014,0-64,182,173,139,207,
2014,45,09.11.2014,0-64,181,173,139,207,
2014,46,16.11.2014,0-64,207,174,140,208,
2014,47,23.11.2014,0-64,181,174,140,208,
2014,48,30.11.2014,0-64,158,175,141,209,
2014,49,07.12.2014,0-64,194,176,142,210,
2014,50,14.12.2014,0-64,171,176,142,210,
2014,51,21.12.2014,0-64,173,177,143,211,
2014,52,28.12.2014,0-64,177,178,143,212,
2014,1,05.01.2014,65+,1143,1216,1126,1306,
2014,2,12.01.2014,65+,1126,1215,1126,1305,
2014,3,19.01.2014,65+,1097,1216,1126,1306,
2014,4,26.01.2014,65+,1131,1216,1126,1306,
2014,5,02.02.2014,65+,1164,1217,1127,1307,
2014,6,09.02.2014,65+,1108,1218,1128,1308,
2014,7,16.02.2014,65+,1095,1215,1125,1305,
2014,8,23.02.2014,65+,1158,1204,1115,1294,
2014,9,02.03.2014,65+,1160,1193,1104,1282,
2014,10,09.03.2014,65+,1151,1170,1082,1258,
2014,11,16.03.2014,65+,1114,1146,1059,1233,
2014,12,23.03.2014,65+,1114,1121,1034,1207,
2014,13,30.03.2014,65+,1026,1095,1010,1180,
2014,14,06.04.2014,65+,1036,1077,992,1161,
2014,15,13.04.2014,65+,1035,1063,979,1147,
2014,16,20.04.2014,65+,1020,1049,966,1132,
2014,17,27.04.2014,65+,980,1036,954,1119,
2014,18,04.05.2014,65+,1047,1024,942,1106,
2014,19,11.05.2014,65+,1001,1012,930,1094,
2014,20,18.05.2014,65+,970,999,918,1081,
2014,21,25.05.2014,65+,983,988,907,1069,
2014,22,01.06.2014,65+,948,984,903,1064,
2014,23,08.06.2014,65+,934,979,899,1060,
2014,24,15.06.2014,65+,1057,978,897,1058,
2014,25,22.06.2014,65+,921,976,896,1057,
2014,26,29.06.2014,65+,916,975,894,1055,
2014,27,06.07.2014,65+,993,975,894,1055,
2014,28,13.07.2014,65+,927,971,891,1051,
2014,29,20.07.2014,65+,1014,968,888,1048,
2014,30,27.07.2014,65+,971,967,887,1047,
2014,31,03.08.2014,65+,1002,967,887,1047,
2014,32,10.08.2014,65+,900,970,890,1051,
2014,33,17.08.2014,65+,965,974,894,1055,
2014,34,24.08.2014,65+,943,980,900,1061,
2014,35,31.08.2014,65+,1014,987,906,1068,
2014,36,07.09.2014,65+,963,994,913,1075,
2014,37,14.09.2014,65+,991,999,917,1080,
2014,38,21.09.2014,65+,958,1003,922,1085,
2014,39,28.09.2014,65+,966,1008,926,1090,
2014,40,05.10.2014,65+,1022,1015,933,1098,
2014,41,12.10.2014,65+,1020,1024,942,1106,
2014,42,19.10.2014,65+,1020,1033,950,1115,
2014,43,26.10.2014,65+,1086,1045,962,1128,
2014,44,02.11.2014,65+,1036,1057,974,1141,
2014,45,09.11.2014,65+,1085,1074,989,1158,
2014,46,16.11.2014,65+,1092,1090,1005,1175,
2014,47,23.11.2014,65+,1112,1106,1021,1192,
2014,48,30.11.2014,65+,1125,1123,1037,1209,
2014,49,07.12.2014,65+,1100,1140,1053,1227,
2014,50,14.12.2014,65+,1080,1149,1062,1237,
2014,51,21.12.2014,65+,1160,1158,1071,1246,
2014,52,28.12.2014,65+,1155,1167,1079,1255,
2015,1,04.01.2015,0-64,192,177,143,211,
2015,2,11.01.2015,0-64,190,177,143,212,
2015,3,18.01.2015,0-64,197,178,144,212,
2015,4,25.01.2015,0-64,174,178,144,213,
2015,5,01.02.2015,0-64,203,179,144,213,
2015,6,08.02.2015,0-64,178,179,145,214,
2015,7,15.02.2015,0-64,223,179,145,214,223
2015,8,22.02.2015,0-64,208,178,144,213,
2015,9,01.03.2015,0-64,188,177,143,211,
2015,10,08.03.2015,0-64,184,175,141,210,
2015,11,15.03.2015,0-64,171,174,140,208,
2015,12,22.03.2015,0-64,187,172,138,206,
2015,13,29.03.2015,0-64,170,171,137,204,
2015,14,05.04.2015,0-64,186,170,136,204,
2015,15,12.04.2015,0-64,161,169,136,203,
2015,16,19.04.2015,0-64,171,169,135,202,
2015,17,26.04.2015,0-64,163,169,135,202,
2015,18,03.05.2015,0-64,159,168,135,202,
2015,19,10.05.2015,0-64,180,168,135,201,
2015,20,17.05.2015,0-64,184,167,134,201,
2015,21,24.05.2015,0-64,166,167,133,200,
2015,22,31.05.2015,0-64,164,166,133,200,
