country,region,start_date,end_date,week,population,total_deaths
Norway,Norway,16/07/2017,22/07/2017,29,5367580,748
Norway,Norway,23/07/2017,29/07/2017,30,5367580,728
Norway,Norway,30/07/2017,05/08/2017,31,5367580,691
Norway,Norway,06/08/2017,12/08/2017,32,5367580,742
Norway,Norway,13/08/2017,19/08/2017,33,5367580,704
Norway,Norway,20/08/2017,26/08/2017,34,5367580,739
Norway,Norway,27/08/2017,02/09/2017,35,5367580,730
Norway,Norway,03/09/2017,09/09/2017,36,5367580,708
Norway,Norway,10/09/2017,16/09/2017,37,5367580,704
Norway,Norway,17/09/2017,23/09/2017,38,5367580,697
Norway,Norway,24/09/2017,30/09/2017,39,5367580,713
Norway,Norway,01/10/2017,07/10/2017,40,5367580,733
Norway,Norway,08/10/2017,14/10/2017,41,5367580,764
Norway,Norway,15/10/2017,21/10/2017,42,5367580,693
Norway,Norway,22/10/2017,28/10/2017,43,5367580,792
Norway,Norway,29/10/2017,04/11/2017,44,5367580,746
Norway,Norway,05/11/2017,11/11/2017,45,5367580,704
Norway,Norway,12/11/2017,18/11/2017,46,5367580,760
Norway,Norway,19/11/2017,25/11/2017,47,5367580,791
Norway,Norway,26/11/2017,02/12/2017,48,5367580,770
Norway,Norway,03/12/2017,09/12/2017,49,5367580,832
Norway,Norway,10/12/2017,16/12/2017,50,5367580,844
Norway,Norway,17/12/2017,23/12/2017,51,5367580,897
Norway,Norway,24/12/2017,30/12/2017,52,5367580,891
Norway,Norway,01/01/2018,07/01/2018,1,5367580,938
Norway,Norway,08/01/2018,14/01/2018,2,5367580,872
Norway,Norway,15/01/2018,21/01/2018,3,5367580,945
Norway,Norway,22/01/2018,28/01/2018,4,5367580,857
Norway,Norway,29/01/2018,04/02/2018,5,5367580,881
Norway,Norway,05/02/2018,11/02/2018,6,5367580,904
Norway,Norway,12/02/2018,18/02/2018,7,5367580,927
Norway,Norway,19/02/2018,25/02/2018,8,5367580,917
Norway,Norway,26/02/2018,04/03/2018,9,5367580,907
Norway,Norway,05/03/2018,11/03/2018,10,5367580,950
Norway,Norway,12/03/2018,18/03/2018,11,5367580,867
Norway,Norway,19/03/2018,25/03/2018,12,5367580,905
Norway,Norway,26/03/2018,01/04/2018,13,5367580,807
Norway,Norway,02/04/2018,08/04/2018,14,5367580,819
Norway,Norway,09/04/2018,15/04/2018,15,5367580,827
Norway,Norway,16/04/2018,22/04/2018,16,5367580,778
Norway,Norway,23/04/2018,29/04/2018,17,5367580,781
Norway,Norway,30/04/2018,06/05/2018,18,5367580,756
Norway,Norway,07/05/2018,13/05/2018,19,5367580,738
Norway,Norway,14/05/2018,20/05/2018,20,5367580,714
Norway,Norway,21/05/2018,27/05/2018,21,5367580,692
Norway,Norway,28/05/2018,03/06/2018,22,5367580,757
Norway,Norway,04/06/2018,10/06/2018,23,5367580,713
Norway,Norway,11/06/2018,17/06/2018,24,5367580,671
Norway,Norway,18/06/2018,24/06/2018,25,5367580,703
Norway,Norway,25/06/2018,01/07/2018,26,5367580,741
Norway,Norway,02/07/2018,08/07/2018,27,5367580,775
Norway,Norway,09/07/2018,15/07/2018,28,5367580,737
Norway,Norway,16/07/2018,22/07/2018,29,5367580,720
Norway,Norway,23/07/2018,29/07/2018,30,5367580,773
Norway,Norway,30/07/2018,05/08/2018,31,5367580,677
Norway,Norway,06/08/2018,12/08/2018,32,5367580,705
Norway,Norway,13/08/2018,19/08/2018,33,5367580,694
Norway,Norway,20/08/2018,26/08/2018,34,5367580,754
Norway,Norway,27/08/2018,02/09/2018,35,5367580,715
Norway,Norway,03/09/2018,09/09/2018,36,5367580,694
Norway,Norway,10/09/2018,16/09/2018,37,5367580,705
Norway,Norway,17/09/2018,23/09/2018,38,5367580,720
Norway,Norway,24/09/2018,30/09/2018,39,5367580,712
Norway,Norway,01/10/2018,07/10/2018,40,5367580,701
Norway,Norway,08/10/2018,14/10/2018,41,5367580,714
Norway,Norway,15/10/2018,21/10/2018,42,5367580,744
Norway,Norway,22/10/2018,28/10/2018,43,5367580,696
Norway,Norway,29/10/2018,04/11/2018,44,5367580,814
Norway,Norway,05/11/2018,11/11/2018,45,5367580,776
Norway,Norway,12/11/2018,18/11/2018,46,5367580,736
Norway,Norway,19/11/2018,25/11/2018,47,5367580,720
Norway,Norway,26/11/2018,02/12/2018,48,5367580,802
Norway,Norway,03/12/2018,09/12/2018,49,5367580,821
Norway,Norway,10/12/2018,16/12/2018,50,5367580,759
Norway,Norway,17/12/2018,23/12/2018,51,5367580,802
Norway,Norway,24/12/2018,30/12/2018,52,5367580,871
Norway,Norway,01/01/2019,07/01/2019,1,5367580,871
Norway,Norway,08/01/2019,14/01/2019,2,5367580,827
Norway,Norway,15/01/2019,21/01/2019,3,5367580,811
Norway,Norway,22/01/2019,28/01/2019,4,5367580,834
Norway,Norway,29/01/2019,04/02/2019,5,5367580,889
Norway,Norway,05/02/2019,11/02/2019,6,5367580,843
Norway,Norway,12/02/2019,18/02/2019,7,5367580,914
Norway,Norway,19/02/2019,25/02/2019,8,5367580,828
Norway,Norway,26/02/2019,04/03/2019,9,5367580,819
Norway,Norway,05/03/2019,11/03/2019,10,5367580,833
Norway,Norway,12/03/2019,18/03/2019,11,5367580,836
Norway,Norway,19/03/2019,25/03/2019,12,5367580,805
Norway,Norway,26/03/2019,01/04/2019,13,5367580,790
Norway,Norway,02/04/2019,08/04/2019,14,5367580,781
Norway,Norway,09/04/2019,15/04/2019,15,5367580,757
Norway,Norway,16/04/2019,22/04/2019,16,5367580,761
Norway,Norway,23/04/2019,29/04/2019,17,5367580,799
Norway,Norway,30/04/2019,06/05/2019,18,5367580,773
Norway,Norway,07/05/2019,13/05/2019,19,5367580,772
Norway,Norway,14/05/2019,20/05/2019,20,5367580,732
Norway,Norway,21/05/2019,27/05/2019,21,5367580,741
Norway,Norway,28/05/2019,03/06/2019,22,5367580,728
Norway,Norway,04/06/2019,10/06/2019,23,5367580,707
Norway,Norway,11/06/2019,17/06/2019,24,5367580,735
Norway,Norway,18/06/2019,24/06/2019,25,5367580,723
Norway,Norway,25/06/2019,01/07/2019,26,5367580,767
Norway,Norway,02/07/2019,08/07/2019,27,5367580,735
Norway,Norway,09/07/2019,15/07/2019,28,5367580,732
Norway,Norway,16/07/2019,22/07/2019,29,5367580,741
Norway,Norway,23/07/2019,29/07/2019,30,5367580,721
Norway,Norway,30/07/2019,05/08/2019,31,5367580,727
Norway,Norway,06/08/2019,12/08/2019,32,5367580,705
Norway,Norway,13/08/2019,19/08/2019,33,5367580,733
Norway,Norway,20/08/2019,26/08/2019,34,5367580,677
Norway,Norway,27/08/2019,02/09/2019,35,5367580,779
Norway,Norway,03/09/2019,09/09/2019,36,5367580,713
Norway,Norway,10/09/2019,16/09/2019,37,5367580,707
Norway,Norway,17/09/2019,23/09/2019,38,5367580,755
Norway,Norway,24/09/2019,30/09/2019,39,5367580,818
Norway,Norway,01/10/2019,07/10/2019,40,5367580,710
Norway,Norway,08/10/2019,14/10/2019,41,5367580,786
Norway,Norway,15/10/2019,21/10/2019,42,5367580,782
Norway,Norway,22/10/2019,28/10/2019,43,5367580,792
Norway,Norway,29/10/2019,04/11/2019,44,5367580,774
Norway,Norway,05/11/2019,11/11/2019,45,5367580,786
Norway,Norway,12/11/2019,18/11/2019,46,5367580,845
Norway,Norway,19/11/2019,25/11/2019,47,5367580,784
Norway,Norway,26/11/2019,02/12/2019,48,5367580,776
Norway,Norway,03/12/2019,09/12/2019,49,5367580,850
Norway,Norway,10/12/2019,16/12/2019,50,5367580,780
Norway,Norway,17/12/2019,23/12/2019,51,5367580,771
Norway,Norway,24/12/2019,30/12/2019,52,5367580,804
Norway,Norway,01/01/2020,07/01/2020,1,5367580,861
Norway,Norway,08/01/2020,14/01/2020,2,5367580,948
Norway,Norway,15/01/2020,21/01/2020,3,5367580,836
Norway,Norway,22/01/2020,28/01/2020,4,5367580,862
Norway,Norway,29/01/2020,04/02/2020,5,5367580,815
