country,region,region_code,start_date,end_date,year,week,population,total_deaths
Mexico,Mexico City,MX-CMX,23/10/2017,29/10/2017,2017,43,8918653,1397
Mexico,Mexico City,MX-CMX,30/10/2017,05/11/2017,2017,44,8918653,1363
Mexico,Mexico City,MX-CMX,06/11/2017,12/11/2017,2017,45,8918653,1409
Mexico,Mexico City,MX-CMX,13/11/2017,19/11/2017,2017,46,8918653,1423
Mexico,Mexico City,MX-CMX,20/11/2017,26/11/2017,2017,47,8918653,1384
Mexico,Mexico City,MX-CMX,27/11/2017,03/12/2017,2017,48,8918653,1492
Mexico,Mexico City,MX-CMX,04/12/2017,10/12/2017,2017,49,8918653,1537
Mexico,Mexico City,MX-CMX,11/12/2017,17/12/2017,2017,50,8918653,1659
Mexico,Mexico City,MX-CMX,18/12/2017,24/12/2017,2017,51,8918653,1634
Mexico,Mexico City,MX-CMX,25/12/2017,31/12/2017,2017,52,8918653,1651
Mexico,Mexico City,MX-CMX,01/01/2018,07/01/2018,2018,1,8918653,1935
Mexico,Mexico City,MX-CMX,08/01/2018,14/01/2018,2018,2,8918653,1771
Mexico,Mexico City,MX-CMX,15/01/2018,21/01/2018,2018,3,8918653,1914
Mexico,Mexico City,MX-CMX,22/01/2018,28/01/2018,2018,4,8918653,1850
Mexico,Mexico City,MX-CMX,29/01/2018,04/02/2018,2018,5,8918653,1790
Mexico,Mexico City,MX-CMX,05/02/2018,11/02/2018,2018,6,8918653,1748
Mexico,Mexico City,MX-CMX,12/02/2018,18/02/2018,2018,7,8918653,1581
Mexico,Mexico City,MX-CMX,19/02/2018,25/02/2018,2018,8,8918653,1657
Mexico,Mexico City,MX-CMX,26/02/2018,04/03/2018,2018,9,8918653,1575
Mexico,Mexico City,MX-CMX,05/03/2018,11/03/2018,2018,10,8918653,1410
Mexico,Mexico City,MX-CMX,12/03/2018,18/03/2018,2018,11,8918653,1457
Mexico,Mexico City,MX-CMX,19/03/2018,25/03/2018,2018,12,8918653,1393
Mexico,Mexico City,MX-CMX,26/03/2018,01/04/2018,2018,13,8918653,1350
Mexico,Mexico City,MX-CMX,02/04/2018,08/04/2018,2018,14,8918653,1415
Mexico,Mexico City,MX-CMX,09/04/2018,15/04/2018,2018,15,8918653,1403
Mexico,Mexico City,MX-CMX,16/04/2018,22/04/2018,2018,16,8918653,1357
Mexico,Mexico City,MX-CMX,23/04/2018,29/04/2018,2018,17,8918653,1377
Mexico,Mexico City,MX-CMX,30/04/2018,06/05/2018,2018,18,8918653,1389
Mexico,Mexico City,MX-CMX,07/05/2018,13/05/2018,2018,19,8918653,1401
Mexico,Mexico City,MX-CMX,14/05/2018,20/05/2018,2018,20,8918653,1408
Mexico,Mexico City,MX-CMX,21/05/2018,27/05/2018,2018,21,8918653,1317
