date,object_id,cod_istatn,nome_com,nome_pro,positivi,deceduti,totale
2020-04-09,134,03020044,PONTI SUL MINCIO,MANTOVA,5,0,5
2020-04-09,135,03097052,MONTE MARENZO,LECCO,4,1,5
2020-04-09,136,03097061,OSNAGO,LECCO,20,2,22
2020-04-09,137,03016219,TREVIGLIO,BERGAMO,170,43,213
2020-04-09,138,03013022,BEREGAZZO CON FIGLIARO,COMO,5,0,5
2020-04-09,139,03013110,GRANDATE,COMO,8,4,12
2020-04-09,140,03016049,CANONICA D`ADDA,BERGAMO,23,6,29
2020-04-09,141,03017015,BERLINGO,BRESCIA,18,5,23
2020-04-09,142,03015140,MELEGNANO,MILANO,108,28,136
2020-04-09,143,03019040,DEROVERE,CREMONA,1,0,1
2020-04-09,144,03017178,SERLE,BRESCIA,31,0,31
2020-04-09,145,03098045,PIEVE FISSIRAGA,LODI,8,4,12
2020-04-09,146,03015201,SAN VITTORE OLONA,MILANO,30,5,35
2020-04-09,147,03013128,LIMIDO COMASCO,COMO,3,0,3
2020-04-09,148,03013065,CERNOBBIO,COMO,13,2,15
2020-04-09,149,03020073,BORGOCARBONARA,MANTOVA,4,1,5
2020-04-09,150,03012033,CARNAGO,VARESE,4,0,4
2020-04-09,152,03013143,MARIANO COMENSE,COMO,49,13,62
2020-04-09,153,03018077,INVERNO E MONTELEONE,PAVIA,6,0,6
2020-04-09,154,03013253,ALTA VALLE INTELVI,COMO,2,1,3
2020-04-09,159,03019093,SCANDOLARA RIPA D`OGLIO,CREMONA,8,1,9
2020-04-09,161,03015082,COLTURANO,MILANO,3,2,5
2020-04-09,162,03017007,ARTOGNE,BRESCIA,34,2,36
2020-04-09,163,03016179,RANZANICO,BERGAMO,15,4,19
2020-04-09,156,03013043,CAPIAGO INTIMIANO,COMO,10,2,12
2020-04-09,157,03019089,SAN DANIELE PO,CREMONA,17,2,19
2020-04-09,180,03016239,VILLA D`ALME`,BERGAMO,51,20,71
2020-04-09,181,03017176,SELLERO,BRESCIA,8,3,11
2020-04-09,182,03013203,SALA COMACINA,COMO,11,4,15
2020-04-09,183,03016201,SONGAVAZZO,BERGAMO,12,3,15
2020-04-09,184,03018189,ZERBOLO`,PAVIA,6,0,6
2020-04-09,185,03097033,ELLO,LECCO,4,2,6
2020-04-09,186,03016034,BOTTANUCO,BERGAMO,25,8,33
2020-04-09,187,03018087,MARZANO,PAVIA,6,2,8
2020-04-09,188,03018040,CASTELNOVETTO,PAVIA,1,0,1
2020-04-09,189,03015169,PAULLO,MILANO,60,14,74
2020-04-09,190,03013234,VALSOLDA,COMO,4,0,4
2020-04-09,191,03016174,PREDORE,BERGAMO,14,7,21
2020-04-09,192,03017179,SIRMIONE,BRESCIA,41,7,48
2020-04-09,193,03019094,SERGNANO,CREMONA,47,8,55
2020-04-09,194,03018107,PALESTRO,PAVIA,2,0,2
2020-04-09,195,03013211,SCHIGNANO,COMO,1,0,1
2020-04-09,196,03016119,GRONE,BERGAMO,6,2,8
2020-04-09,197,03019027,CASTELVISCONTI,CREMONA,1,0,1
2020-04-09,198,03018155,TORRAZZA COSTE,PAVIA,5,5,10
2020-04-09,199,03098039,MERLINO,LODI,4,1,5
2020-04-09,200,03019053,ISOLA DOVARESE,CREMONA,11,2,13
2020-04-09,201,03019009,CALVATONE,CREMONA,11,3,14
2020-04-09,202,03018009,BASCAPE`,PAVIA,6,1,7
2020-04-09,203,03018150,SIZIANO,PAVIA,16,5,21
2020-04-09,204,03017162,ROCCAFRANCA,BRESCIA,28,9,37
2020-04-09,205,03016074,CISANO BERGAMASCO,BERGAMO,33,12,45
2020-04-09,206,03018060,CURA CARPIGNANO,PAVIA,19,4,23
2020-04-09,207,03098025,CRESPIATICA,LODI,8,4,12
2020-04-09,208,03020032,MARIANA MANTOVANA,MANTOVA,3,1,4
2020-04-09,209,03016191,SANTA BRIGIDA,BERGAMO,4,3,7
2020-04-09,210,03013163,NOVEDRATE,COMO,3,0,3
2020-04-09,211,03017092,LONATO DEL GARDA,BRESCIA,111,14,125
2020-04-09,212,03020002,ASOLA,MANTOVA,72,15,87
2020-04-09,214,03018086,MARCIGNAGO,PAVIA,8,0,8
2020-04-09,215,03017042,CASTEL MELLA,BRESCIA,69,11,80
2020-04-09,213,03012057,CROSIO DELLA VALLE,VARESE,1,0,1
2020-04-09,216,03015051,CARUGATE,MILANO,61,12,73
2020-04-09,217,03019002,AGNADELLO,CREMONA,29,8,37
2020-04-09,218,03016165,PIAZZATORRE,BERGAMO,3,1,4
2020-04-09,219,03017077,GAVARDO,BRESCIA,90,14,104
2020-04-09,220,03014006,BEMA,SONDRIO,0,1,1
2020-04-09,221,03019038,CROTTA D`ADDA,CREMONA,9,3,12
2020-04-09,222,03015206,SENAGO,MILANO,44,16,60
2020-04-09,223,03012138,VERGIATE,VARESE,13,3,16
2020-04-09,225,03013075,COMO,COMO,181,51,232
2020-04-09,227,03012025,BUGUGGIATE,VARESE,1,0,1
2020-04-09,228,03016040,BRIGNANO GERA D`ADDA,BERGAMO,25,12,37
2020-04-09,229,03016029,BOLTIERE,BERGAMO,25,15,40
2020-04-09,230,03019078,QUINTANO,CREMONA,10,4,14
2020-04-09,231,03012074,GEMONIO,VARESE,2,0,2
2020-04-09,232,03020001,ACQUANEGRA SUL CHIESE,MANTOVA,26,2,28
2020-04-09,233,03018071,GERENZAGO,PAVIA,8,2,10
2020-04-09,234,03015014,BASIANO,MILANO,8,7,15
2020-04-09,235,03015078,CISLIANO,MILANO,12,2,14
2020-04-09,236,03017065,DARFO BOARIO TERME,BRESCIA,107,19,126
2020-04-09,237,03012004,ARCISATE,VARESE,14,2,16
2020-04-09,174,03013114,GUANZATE,COMO,8,0,8
2020-04-09,175,03016101,FONTANELLA,BERGAMO,18,5,23
2020-04-09,176,03097036,GALBIATE,LECCO,47,11,58
2020-04-09,178,03015108,GORGONZOLA,MILANO,77,8,85
2020-04-09,179,03018024,BRONI,PAVIA,51,14,65
2020-04-09,239,03016242,VILLONGO,BERGAMO,33,16,49
2020-04-09,240,03097009,BOSISIO PARINI,LECCO,14,1,15
2020-04-09,268,03017120,NUVOLERA,BRESCIA,34,3,37
2020-04-09,269,03016098,FILAGO,BERGAMO,18,7,25
2020-04-09,272,03012137,VENEGONO SUPERIORE,VARESE,6,1,7
2020-04-09,273,03015250,BARANZATE,MILANO,34,2,36
2020-04-09,274,03016209,SUISIO,BERGAMO,25,7,32
2020-04-09,275,03015157,NOVATE MILANESE,MILANO,72,7,79
2020-04-09,276,03016051,CAPRIATE SAN GERVASIO,BERGAMO,61,21,82
2020-04-09,277,03013087,DIZZASCO,COMO,0,4,4
2020-04-09,241,03017192,URAGO D`OGLIO,BRESCIA,27,5,32
2020-04-09,242,03017013,BASSANO BRESCIANO,BRESCIA,20,3,23
2020-04-09,243,03017079,GIANICO,BRESCIA,24,5,29
2020-04-09,244,03018192,CORTEOLONA E GENZONE,PAVIA,11,3,14
2020-04-09,245,03015210,SETTALA,MILANO,19,5,24
2020-04-09,246,03017004,ALFIANELLO,BRESCIA,28,7,35
2020-04-09,247,03016204,SOVERE,BERGAMO,34,8,42
